time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
27.10.2025 17:16:53;52.2978;4.7798;222;155;178;1100;;FlightAware ADS-B(EHVB)
27.10.2025 17:17:09;52.2870;4.7718;185;190;219;2050;3281;FlightAware ADS-B(EHVB)
27.10.2025 17:17:25;52.2719;4.7769;153;221;254;2850;2859;FlightAware ADS-B(AMS / EHAM)
27.10.2025 17:17:41;52.2602;4.7961;122;240;276;3575;3234;FlightAware ADS-B(EHHV)
27.10.2025 17:17:57;52.2532;4.8250;105;246;283;4575;4059;FlightAware ADS-B(UTC / EHSB)
27.10.2025 17:18:15;52.2501;4.8568;94;243;280;5875;4414;FlightAware ADS-B(EHHA)
27.10.2025 17:18:32;52.2497;4.8882;90;243;280;7150;4000;FlightAware ADS-B(EHHV)
27.10.2025 17:18:48;52.2499;4.9173;89;253;291;8075;3281;FlightAware ADS-B(EHHV)
27.10.2025 17:19:04;52.2502;4.9483;89;262;302;8900;3083;FlightAware ADS-B(EDLS)
27.10.2025 17:19:24;52.2504;4.9878;90;275;316;9925;3133;FlightAware ADS-B(AMS / EHAM)
27.10.2025 17:19:49;52.2494;5.0453;92;298;343;11250;3060;FlightAware ADS-B(AMS / EHAM)
27.10.2025 17:20:14;52.2482;5.1006;92;322;371;12475;3060;FlightAware ADS-B(EME / EDWE)
27.10.2025 17:20:39;52.2469;5.1674;92;353;406;13800;3082;FlightAware ADS-B(GLZ / EHGR)
27.10.2025 17:21:09;52.2447;5.2508;93;390;449;15300;3000;FlightAware ADS-B(EHHV)
27.10.2025 17:21:39;52.2405;5.3393;96;422;486;16800;3000;FlightAware ADS-B(EHTE)
27.10.2025 17:22:09;52.2346;5.4370;95;436;502;18300;3000;FlightAware ADS-B(EHDP)
27.10.2025 17:22:31;52.2305;5.5078;97;448;516;19400;3038;FlightAware ADS-B(AMS / EHAM)
27.10.2025 17:22:49;52.2208;5.5690;109;456;525;20325;2230;FlightAware ADS-B(EHDL)
27.10.2025 17:23:08;52.2037;5.6283;126;474;545;20775;1000;FlightAware ADS-B(EHTE)
27.10.2025 17:23:28;52.1735;5.6783;141;480;552;20975;229;FlightAware ADS-B(CGN / EDDK)
27.10.2025 17:24:07;52.1014;5.7577;148;475;547;21000;19;FlightAware ADS-B(AMS / EHAM)
27.10.2025 17:24:47;52.0279;5.8342;147;461;531;21000;;FlightAware ADS-B(ENS / EHTW)
27.10.2025 17:25:05;51.9974;5.8671;146;454;522;21000;;FlightAware ADS-B(EHDP)
27.10.2025 17:25:49;51.9224;5.9482;147;439;505;21000;;FlightAware ADS-B(EBBL)
27.10.2025 17:26:10;51.8879;5.9887;140;432;497;21000;-286;FlightAware ADS-B(WOE / EHWO)
27.10.2025 17:26:31;51.8560;6.0348;137;427;491;20800;-850;FlightAware ADS-B(EHDL)
27.10.2025 17:27:10;51.8023;6.1192;136;416;479;20150;-1000;FlightAware ADS-B(ENS / EHTW)
27.10.2025 17:27:31;51.7732;6.1635;137;418;481;19800;-971;FlightAware ADS-B(ENS / EHTW)
27.10.2025 17:28:01;51.7321;6.2258;136;422;486;19325;-1000;FlightAware ADS-B(UDE / EHVK)
27.10.2025 17:28:31;51.6887;6.2941;135;424;488;18800;-1025;FlightAware ADS-B(EIN / EHEH)
27.10.2025 17:29:01;51.6455;6.3629;136;439;505;18300;-1000;FlightAware ADS-B(AMS / EHAM)
27.10.2025 17:29:31;51.6030;6.4298;136;443;510;17800;-1175;FlightAware ADS-B(EDGQ)
27.10.2025 17:30:01;51.5585;6.4996;136;444;511;17125;-1650;FlightAware ADS-B(UDE / EHVK)
27.10.2025 17:30:31;51.5140;6.5683;136;436;502;16150;-1975;FlightAware ADS-B(EDVY)
27.10.2025 17:31:01;51.4721;6.6331;136;427;491;15150;-2075;FlightAware ADS-B(EDKB)
27.10.2025 17:31:31;51.4278;6.7013;136;417;480;14075;-2000;FlightAware ADS-B(ENS / EHTW)
27.10.2025 17:32:01;51.3901;6.7593;136;402;463;13150;-1936;FlightAware ADS-B(EDLM)
27.10.2025 17:32:26;51.3566;6.8109;136;376;433;12300;-2073;FlightAware ADS-B(ESS / EDLE)
27.10.2025 17:32:56;51.3190;6.8685;136;357;411;11250;-1850;FlightAware ADS-B(EDKB)
27.10.2025 17:33:26;51.2845;6.9218;136;333;383;10450;-1470;FlightAware ADS-B(ESS / EDLE)
27.10.2025 17:33:46;51.2620;6.9566;136;326;375;10025;-1380;FlightAware ADS-B(ENS / EHTW)
27.10.2025 17:34:16;51.2318;7.0028;136;319;367;9300;-1425;FlightAware ADS-B(DUS / EDDL)
27.10.2025 17:34:46;51.1990;7.0525;137;314;361;8600;-1400;FlightAware ADS-B(DUS / EDDL)
27.10.2025 17:35:16;51.1688;7.0983;136;309;356;7900;-1425;FlightAware ADS-B(DTM / EDLW)
27.10.2025 17:35:46;51.1371;7.1465;137;305;351;7175;-1400;FlightAware ADS-B(EDLM)
27.10.2025 17:36:16;51.1076;7.1912;137;303;349;6500;-1300;FlightAware ADS-B(DTM / EDLW)
