time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
30.10.2025 18:28:56;51.4457;5.3693;217;154;177;475;;FlightAware ADS-B(EIN / EHEH)
30.10.2025 18:29:12;51.4366;5.3583;218;154;177;1600;4172;FlightAware ADS-B(EIN / EHEH)
30.10.2025 18:29:28;51.4275;5.3470;218;157;181;2700;4078;FlightAware ADS-B(UDE / EHVK)
30.10.2025 18:29:44;51.4182;5.3354;217;161;185;3775;3609;FlightAware ADS-B(GLZ / EHGR)
30.10.2025 18:30:00;51.4079;5.3237;215;176;203;4625;3227;FlightAware ADS-B(EIN / EHEH)
30.10.2025 18:30:17;51.3952;5.3159;184;189;217;5550;3643;FlightAware ADS-B(EIN / EHEH)
30.10.2025 18:30:35;51.3808;5.3238;143;201;231;6750;3947;FlightAware ADS-B(EHDL)
30.10.2025 18:30:55;51.3681;5.3483;121;213;245;8050;2966;FlightAware ADS-B(EDLS)
30.10.2025 18:31:19;51.3580;5.3840;111;246;283;8925;1096;FlightAware ADS-B(EHTE)
30.10.2025 18:31:47;51.3470;5.4358;108;275;316;9000;78;FlightAware ADS-B(DUS / EDDL)
30.10.2025 18:32:17;51.3350;5.4958;107;287;330;9000;;FlightAware ADS-B(EDLC)
30.10.2025 18:32:47;51.3226;5.5580;108;288;331;9000;;FlightAware ADS-B(EDLC)
30.10.2025 18:33:17;51.3101;5.6174;109;283;326;9000;;FlightAware ADS-B(EBBE)
30.10.2025 18:33:47;51.2974;5.6758;109;279;321;9000;;FlightAware ADS-B(EIN / EHEH)
30.10.2025 18:34:09;51.2883;5.7187;109;278;320;9000;;FlightAware ADS-B(EHDL)
30.10.2025 18:34:30;51.2795;5.7611;108;277;319;9000;;FlightAware ADS-B(EBBL)
30.10.2025 18:35:19;51.2597;5.8554;109;274;315;9000;;FlightAware ADS-B(MST / EHBK)
30.10.2025 18:35:49;51.2477;5.9127;109;273;314;9000;;FlightAware ADS-B(MST / EHBK)
30.10.2025 18:36:19;51.2361;5.9676;109;273;314;9000;;FlightAware ADS-B(FMO / EDDG)
30.10.2025 18:36:49;51.2239;6.0243;110;272;313;9000;;FlightAware ADS-B(EIN / EHEH)
30.10.2025 18:37:19;51.2111;6.0801;110;271;312;9000;;FlightAware ADS-B(EDKL)
30.10.2025 18:37:36;51.2039;6.1121;110;271;312;9000;;FlightAware ADS-B(ESS / EDLE)
30.10.2025 18:38:06;51.1914;6.1677;110;271;312;9000;-225;FlightAware ADS-B(MST / EHBK)
30.10.2025 18:38:36;51.1778;6.2278;110;278;320;8775;-700;FlightAware ADS-B(EHDP)
30.10.2025 18:39:06;51.1647;6.2855;110;279;321;8300;-975;FlightAware ADS-B(MGL / EDLN)
30.10.2025 18:39:36;51.1515;6.3432;110;278;320;7800;-900;FlightAware ADS-B(EDLK)
30.10.2025 18:40:31;51.1277;6.4480;110;270;311;7025;-565;FlightAware ADS-B(ETSB)
30.10.2025 18:41:01;51.1157;6.5016;110;251;289;7000;-225;FlightAware ADS-B(EDKL)
30.10.2025 18:41:31;51.1046;6.5503;110;253;291;6800;-975;FlightAware ADS-B(MGL / EDLN)
