time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
01.11.2025 16:48:06;37.9385;23.9348;36;151;174;700;;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:48:25;37.9501;23.9458;37;156;180;1800;3086;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:48:41;37.9596;23.9544;35;172;198;2500;2438;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:48:57;37.9706;23.9640;35;188;216;3100;2625;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:49:13;37.9815;23.9738;36;192;221;3900;3188;FlightAware ADS-B(LGTT)
01.11.2025 16:49:29;37.9936;23.9848;36;196;226;4800;3221;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:49:47;38.0062;23.9968;37;200;230;5725;2917;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:50:05;38.0228;24.0046;357;203;234;6550;3000;FlightAware ADS-B(LGEL)
01.11.2025 16:50:23;38.0376;23.9965;325;195;224;7525;3192;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:50:44;38.0533;23.9815;321;200;230;8625;2786;FlightAware ADS-B(LGEL)
01.11.2025 16:51:05;38.0685;23.9647;318;216;249;9475;2273;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:51:50;38.1040;23.9230;314;257;296;11125;2216;FlightAware ADS-B(LGEL)
01.11.2025 16:52:12;38.1184;23.8949;297;274;315;11950;2233;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:52:35;38.1262;23.8587;279;287;330;12800;2292;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:53:05;38.1319;23.8045;277;307;353;13975;2225;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:53:35;38.1367;23.7526;277;325;374;15025;2200;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:54:05;38.1415;23.6926;275;338;389;16175;2275;FlightAware ADS-B(LGMG)
01.11.2025 16:54:35;38.1461;23.6322;276;347;399;17300;2025;FlightAware ADS-B(LGMG)
01.11.2025 16:55:05;38.1516;23.5716;278;347;399;18200;1625;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:55:35;38.1577;23.5111;277;351;404;18925;1475;FlightAware ADS-B(VOL / LGBL)
01.11.2025 16:56:05;38.1638;23.4504;278;352;405;19675;1525;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:56:35;38.1702;23.3872;277;357;411;20450;1531;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:56:53;38.1740;23.3487;280;363;418;20900;1539;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:57:13;38.1840;23.3070;291;375;432;21425;1524;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:57:55;38.2151;23.2210;297;398;458;22475;1479;FlightAware ADS-B(ATH / LGAV)
01.11.2025 16:58:25;38.2382;23.1592;294;411;473;23200;1425;FlightAware ADS-B(LGTT)
01.11.2025 16:58:55;38.2619;23.0904;294;421;484;23900;889;FlightAware ADS-B(SKU / LGSY)
01.11.2025 16:59:19;38.2822;23.0321;296;439;505;24000;111;FlightAware ADS-B(SKU / LGSY)
01.11.2025 16:59:49;38.3182;22.9689;312;453;521;24000;;FlightAware ADS-B(LGTP)
01.11.2025 17:00:19;38.3598;22.9129;314;462;532;24000;200;FlightAware ADS-B(VOL / LGBL)
01.11.2025 17:00:49;38.4044;22.8545;313;466;536;24200;925;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:01:19;38.4482;22.7936;313;463;533;24925;1475;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:01:49;38.4918;22.7336;313;462;532;25675;1475;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:02:19;38.5360;22.6730;313;462;532;26400;1500;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:02:49;38.5803;22.6114;313;464;534;27175;1475;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:03:19;38.6223;22.5529;313;465;535;27875;1475;FlightAware ADS-B(ATH / LGAV)
01.11.2025 17:03:49;38.6683;22.4889;312;466;536;28650;1500;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:04:19;38.7112;22.4289;313;468;539;29375;1450;FlightAware ADS-B(LGTP)
01.11.2025 17:04:49;38.7535;22.3696;313;469;540;30100;1425;FlightAware ADS-B(JSI / LGSK)
01.11.2025 17:05:19;38.7969;22.3090;312;470;541;30800;1425;FlightAware ADS-B(ATH / LGAV)
01.11.2025 17:05:49;38.8409;22.2467;312;471;542;31525;1175;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:06:19;38.8861;22.1841;312;478;550;31975;475;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:06:49;38.9308;22.1209;312;476;548;32000;25;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:07:19;38.9748;22.0580;312;473;544;32000;;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:07:49;39.0191;21.9953;312;467;537;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:08:19;39.0625;21.9338;312;461;531;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:08:49;39.1057;21.8732;313;457;526;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:09:19;39.1461;21.8149;312;455;524;32000;;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:09:49;39.1892;21.7535;312;455;524;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:10:19;39.2320;21.6921;312;456;525;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:10:49;39.2745;21.6323;312;458;527;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:11:25;39.3237;21.5606;312;459;528;32000;;FlightAware ADS-B(BDS / LIBR)
01.11.2025 17:11:57;39.3703;21.4940;312;458;527;32000;;FlightAware ADS-B(BDS / LIBR)
01.11.2025 17:12:27;39.4108;21.4352;312;458;527;32000;;FlightAware ADS-B(BDS / LIBR)
01.11.2025 17:13:02;39.4622;21.3614;311;456;525;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:13:35;39.5074;21.2956;312;455;524;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:14:05;39.5500;21.2341;311;454;522;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:14:35;39.5907;21.1741;312;454;522;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:15:05;39.6328;21.1136;312;454;522;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:15:37;39.6767;21.0493;312;453;521;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:16:09;39.7239;20.9807;312;454;522;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:16:39;39.7654;20.9187;311;454;522;32000;;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:17:00;39.7929;20.8791;315;453;521;32000;;FlightAware ADS-B(LINB)
01.11.2025 17:17:17;39.8209;20.8466;320;450;518;32000;;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:17:54;39.8788;20.7877;322;448;516;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:18:24;39.9283;20.7372;321;447;514;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:18:54;39.9774;20.6864;322;447;514;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:19:24;40.0260;20.6353;321;447;514;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:19:54;40.0757;20.5843;321;447;514;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:20:24;40.1230;20.5347;321;447;514;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:20:54;40.1712;20.4840;322;446;513;32000;;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:21:27;40.2241;20.4288;320;447;514;32000;;FlightAware ADS-B(TAR / LIBG)
01.11.2025 17:21:58;40.2723;20.3783;322;446;513;32000;;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:22:31;40.3273;20.3196;320;447;514;32000;;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:23:01;40.3748;20.2701;321;448;516;32000;;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:23:31;40.4240;20.2184;321;447;514;32000;;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:24:01;40.4723;20.1662;320;447;514;32000;;FlightAware ADS-B(CFU / LGKR)
01.11.2025 17:24:31;40.5198;20.1166;321;446;513;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:25:01;40.5671;20.0659;321;447;514;32000;;FlightAware ADS-B(FOG / LIBF)
01.11.2025 17:25:32;40.6169;20.0132;321;447;514;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:26:02;40.6646;19.9620;320;448;516;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:26:32;40.7125;19.9111;321;447;514;32000;;FlightAware ADS-B(IOA / LGIO)
01.11.2025 17:27:03;40.7622;19.8577;321;447;514;32000;;FlightAware ADS-B(FOG / LIBF)
01.11.2025 17:27:33;40.8109;19.8055;322;446;513;32000;-125;FlightAware ADS-B(FOG / LIBF)
01.11.2025 17:28:03;40.8569;19.7561;320;443;510;31875;-650;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:28:33;40.9055;19.7031;320;442;509;31350;-1075;FlightAware ADS-B(GPA / LGRX)
01.11.2025 17:29:03;40.9553;19.6500;322;440;506;30800;-1025;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:29:33;41.0009;19.6005;320;440;506;30325;-1025;FlightAware ADS-B(TAR / LIBG)
01.11.2025 17:30:03;41.0506;19.5464;320;442;509;29775;-1029;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:30:24;41.0821;19.5123;321;445;512;29450;-1000;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:30:54;41.1309;19.4595;320;448;516;28925;-1025;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:31:24;41.1788;19.4071;320;447;514;28425;-984;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:31:55;41.2279;19.3539;321;448;516;27925;-1008;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:32:25;41.2766;19.2994;320;449;517;27400;-1025;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:32:55;41.3228;19.2499;321;449;517;26900;-1025;FlightAware ADS-B(DBV / LDDU)
01.11.2025 17:33:25;41.3717;19.1965;321;449;517;26375;-1025;FlightAware ADS-B(DBV / LDDU)
01.11.2025 17:33:55;41.4210;19.1436;322;448;516;25875;-1000;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:34:25;41.4697;19.0933;323;447;514;25375;-1000;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:34:55;41.5170;19.0446;323;445;512;24875;-1225;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:35:25;41.5644;18.9950;321;447;514;24150;-1600;FlightAware ADS-B(FOG / LIBF)
01.11.2025 17:35:55;41.6156;18.9418;322;441;507;23275;-1725;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:36:25;41.6632;18.8910;323;437;503;22425;-1725;FlightAware ADS-B(DBV / LDDU)
01.11.2025 17:36:55;41.7109;18.8419;321;436;502;21550;-1725;FlightAware ADS-B(LINA)
01.11.2025 17:37:25;41.7589;18.7907;322;434;499;20700;-1700;FlightAware ADS-B(DBV / LDDU)
01.11.2025 17:37:55;41.8041;18.7436;322;433;498;19850;-1725;FlightAware ADS-B(BRI / LIBD)
01.11.2025 17:38:25;41.8522;18.6918;322;432;497;18975;-1725;FlightAware ADS-B(FOG / LIBF)
01.11.2025 17:38:55;41.8986;18.6432;321;428;493;18125;-1700;FlightAware ADS-B(BDS / LIBR)
01.11.2025 17:39:25;41.9447;18.5949;323;417;480;17275;-1675;FlightAware ADS-B(LIBX)
01.11.2025 17:39:55;41.9890;18.5478;321;408;470;16450;-1625;FlightAware ADS-B(BRI / LIBD)
01.11.2025 17:40:25;42.0333;18.5003;322;401;461;15650;-1625;FlightAware ADS-B(BDS / LIBR)
01.11.2025 17:40:55;42.0774;18.4537;322;395;455;14825;-1625;FlightAware ADS-B(BDS / LIBR)
01.11.2025 17:41:25;42.1178;18.4095;322;377;434;14025;-1550;FlightAware ADS-B(DBV / LDDU)
01.11.2025 17:41:55;42.1578;18.3678;322;356;410;13275;-1425;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:42:25;42.1960;18.3262;321;332;382;12600;-1275;FlightAware ADS-B(LCC / LIBN)
01.11.2025 17:42:55;42.2312;18.2889;322;323;372;12000;-1200;FlightAware ADS-B(DBV / LDDU)
01.11.2025 17:43:25;42.2648;18.2523;321;313;360;11400;-1175;FlightAware ADS-B(BRI / LIBD)
01.11.2025 17:43:55;42.2979;18.2168;321;305;351;10825;-1175;FlightAware ADS-B(PSR / LIBP)
01.11.2025 17:44:25;42.3328;18.1794;322;298;343;10225;-1125;FlightAware ADS-B(BRI / LIBD)
01.11.2025 17:44:55;42.3627;18.1469;321;294;338;9700;-1075;FlightAware ADS-B(BDS / LIBR)
01.11.2025 17:45:25;42.3954;18.1118;322;290;334;9150;-1083;FlightAware ADS-B(BRI / LIBD)
01.11.2025 17:45:49;42.4216;18.0835;320;290;334;8725;-1056;FlightAware ADS-B(BRI / LIBD)
01.11.2025 17:46:19;42.4529;18.0493;323;287;330;8200;-1016;FlightAware ADS-B(BRI / LIBD)
01.11.2025 17:46:51;42.4843;18.0151;321;284;327;7675;-992;FlightAware ADS-B(FOG / LIBF)
01.11.2025 17:47:21;42.5148;17.9824;321;271;312;7175;-1025;FlightAware ADS-B(DBV / LDDU)
01.11.2025 17:47:51;42.5429;17.9517;322;252;290;6650;-1102;FlightAware ADS-B(PSR / LIBP)
