time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
02.11.2025 12:34:16;51.3823;-2.7303;266;138;159;1300;;Surface and Near-Surface
02.11.2025 12:34:31;51.3816;-2.7458;267;140;161;2275;3823;FlightAware ADS-B(BRS / EGGD)
02.11.2025 12:34:47;51.3811;-2.7626;268;143;165;3275;3281;FlightAware ADS-B(SWS / EGFH)
02.11.2025 12:35:03;51.3807;-2.7790;268;151;174;4025;3141;FlightAware ADS-B(BRS / EGGD)
02.11.2025 12:35:19;51.3803;-2.7991;268;160;184;4950;3516;FlightAware ADS-B(FFD / EGVA)
02.11.2025 12:35:35;51.3798;-2.8177;268;164;189;5900;3453;FlightAware ADS-B(EGBS)
02.11.2025 12:36:02;51.3789;-2.8513;267;175;201;7425;3628;FlightAware ADS-B(EGFC)
02.11.2025 12:36:18;51.3795;-2.8725;287;182;209;8500;3667;FlightAware ADS-B(GLO / EGBJ)
02.11.2025 12:36:38;51.3926;-2.8909;344;216;249;9625;3042;FlightAware ADS-B(FZO / EGTG)
02.11.2025 12:36:54;51.4099;-2.8891;22;250;288;10325;2500;FlightAware ADS-B(BRS / EGGD)
02.11.2025 12:37:11;51.4247;-2.8698;56;273;314;11000;2294;FlightAware ADS-B(GLO / EGBJ)
02.11.2025 12:37:28;51.4344;-2.8361;73;294;338;11625;2182;FlightAware ADS-B(GLO / EGBJ)
02.11.2025 12:37:44;51.4390;-2.8009;83;312;359;12200;2083;FlightAware ADS-B(GLO / EGBJ)
02.11.2025 12:38:04;51.4411;-2.7515;88;329;379;12875;1986;FlightAware ADS-B(EGFC)
02.11.2025 12:38:21;51.4410;-2.7154;92;345;397;13425;1941;FlightAware ADS-B(EGTP)
02.11.2025 12:38:38;51.4404;-2.6669;91;357;411;13975;1989;FlightAware ADS-B(GLO / EGBJ)
02.11.2025 12:39:07;51.4406;-2.5907;89;376;433;14950;2339;FlightAware ADS-B(EGHG)
02.11.2025 12:39:37;51.4414;-2.5021;90;399;459;16275;2759;FlightAware ADS-B(MAN / EGCC)
02.11.2025 12:40:03;51.4415;-2.4271;90;410;472;17525;2933;FlightAware ADS-B(BRS / EGGD)
02.11.2025 12:40:22;51.4407;-2.3666;93;418;481;18475;3000;FlightAware ADS-B(EGUO)
02.11.2025 12:40:39;51.4386;-2.3151;94;424;488;19325;3043;FlightAware ADS-B(SOU / EGHI)
02.11.2025 12:40:57;51.4354;-2.2594;96;431;496;20250;2771;FlightAware ADS-B(BOH / EGHH)
02.11.2025 12:41:38;51.4286;-2.1260;95;448;516;22050;2303;FlightAware ADS-B(EGTC)
02.11.2025 12:42:08;51.4236;-2.0252;95;467;537;22975;2125;FlightAware ADS-B(EXT / EGTE)
02.11.2025 12:42:38;51.4182;-1.9197;94;472;543;24175;2415;FlightAware ADS-B(BRS / EGGD)
02.11.2025 12:43:07;51.4128;-1.8214;95;478;550;25350;2492;FlightAware ADS-B(LHR / EGLL)
02.11.2025 12:43:37;51.4067;-1.7127;95;479;551;26625;2406;FlightAware ADS-B(MAN / EGCC)
02.11.2025 12:44:00;51.4027;-1.6317;94;481;554;27475;2308;FlightAware ADS-B(EGBC)
02.11.2025 12:44:16;51.4003;-1.5769;95;484;557;28125;2315;FlightAware ADS-B(SOU / EGHI)
02.11.2025 12:44:46;51.3941;-1.4638;94;483;556;29250;1875;FlightAware ADS-B(EXT / EGTE)
02.11.2025 12:45:16;51.3881;-1.3567;96;495;570;30000;1475;FlightAware ADS-B(BBS / EGLK)
