time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
10.10.2025 15:39:32;43.6859;10.3966;39;147;169;;;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:39:48;43.6949;10.4067;40;164;189;425;2273;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:40:05;43.7053;10.4182;37;178;205;1150;2545;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:40:21;43.7165;10.4286;32;185;213;1825;2484;FlightAware ADS-B(MCM / LNMC)
10.10.2025 15:40:37;43.7290;10.4366;7;192;221;2475;2625;FlightAware ADS-B(LIAO)
10.10.2025 15:40:53;43.7425;10.4313;324;194;223;3225;2766;FlightAware ADS-B(FLR / LIRQ)
10.10.2025 15:41:09;43.7495;10.4155;282;200;230;3950;2956;FlightAware ADS-B(FLR / LIRQ)
10.10.2025 15:41:27;43.7451;10.3910;236;204;235;4900;2824;FlightAware ADS-B(LIAT)
10.10.2025 15:41:43;43.7374;10.3756;244;213;245;5550;2227;FlightAware ADS-B(LCV / LIQL)
10.10.2025 15:42:00;43.7342;10.3533;269;229;264;6125;2189;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:42:20;43.7359;10.3194;277;250;288;6900;2160;FlightAware ADS-B(CEQ / LFMD)
10.10.2025 15:42:50;43.7408;10.2697;277;281;323;7925;2200;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:43:20;43.7447;10.2142;274;300;345;9100;2640;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:44:05;43.7495;10.1279;274;312;359;11225;2400;FlightAware ADS-B(BGY / LIME)
10.10.2025 15:44:35;43.7531;10.0668;275;334;384;12100;1925;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:45:05;43.7565;9.9995;274;348;400;13150;2336;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:45:36;43.7600;9.9291;274;352;405;14475;2066;FlightAware ADS-B(MCM / LNMC)
10.10.2025 15:46:06;43.7635;9.8621;275;368;423;15250;1675;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:46:36;43.7668;9.7927;274;377;434;16150;1929;FlightAware ADS-B(PMF / LIMP)
10.10.2025 15:46:55;43.7694;9.7451;277;378;435;16825;1971;FlightAware ADS-B(CEQ / LFMD)
10.10.2025 15:47:11;43.7776;9.7095;300;378;435;17300;1929;FlightAware ADS-B(MCM / LNMC)
10.10.2025 15:47:30;43.7994;9.6710;314;375;432;17950;2250;FlightAware ADS-B(BLQ / LIPE)
10.10.2025 15:47:55;43.8309;9.6320;321;376;433;18950;1882;FlightAware ADS-B(TRN / LIMF)
10.10.2025 15:48:25;43.8716;9.5877;322;383;441;19675;1675;FlightAware ADS-B(PSA / LIRP)
10.10.2025 15:48:55;43.9141;9.5419;321;387;445;20625;1775;FlightAware ADS-B(LIDU)
10.10.2025 15:49:25;43.9569;9.4938;321;394;453;21450;1825;FlightAware ADS-B(EBA / LIRJ)
10.10.2025 15:49:55;43.9987;9.4473;321;395;455;22450;1975;FlightAware ADS-B(PMF / LIMP)
10.10.2025 15:50:25;44.0412;9.4001;321;396;456;23425;1750;FlightAware ADS-B(GOA / LIMJ)
10.10.2025 15:50:55;44.0850;9.3503;321;404;465;24200;1378;FlightAware ADS-B(LIDT)
10.10.2025 15:51:14;44.1114;9.3247;328;408;470;24550;1064;FlightAware ADS-B(ALL / LIMG)
10.10.2025 15:51:50;44.1731;9.2762;332;419;482;25175;1023;FlightAware ADS-B(GOA / LIMJ)
10.10.2025 15:52:20;44.2256;9.2368;332;429;494;25675;1250;FlightAware ADS-B(BGY / LIME)
10.10.2025 15:52:50;44.2779;9.1968;331;431;496;26425;1475;FlightAware ADS-B(FLR / LIRQ)
10.10.2025 15:53:20;44.3289;9.1581;332;432;497;27150;1500;FlightAware ADS-B(TRN / LIMF)
