time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
31.10.2025 16:24:15;42.5684;18.2510;300;167;192;950;;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:24:35;42.5762;18.2326;300;172;198;1925;2850;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:24:55;42.5845;18.2134;300;182;209;2850;2288;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:25:15;42.5934;18.1921;299;205;236;3450;2198;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:25:38;42.6043;18.1655;299;215;247;4425;2674;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:26:01;42.6143;18.1379;294;223;257;5500;2933;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:26:23;42.6231;18.1089;292;228;262;6625;3079;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:26:39;42.6295;18.0874;293;233;268;7450;3047;FlightAware ADS-B(PSR / LIBP)
31.10.2025 16:26:55;42.6365;18.0658;294;236;272;8250;3000;FlightAware ADS-B(PSR / LIBP)
31.10.2025 16:27:20;42.6480;18.0316;294;240;276;9500;2759;FlightAware ADS-B(LIBX)
31.10.2025 16:27:51;42.6617;17.9876;293;252;290;10825;2410;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:28:21;42.6763;17.9420;293;273;314;11950;2175;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:28:51;42.6920;17.8925;293;292;336;13000;2041;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:29:22;42.7086;17.8403;294;310;357;14025;2040;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:29:41;42.7203;17.8043;297;321;369;14700;2108;FlightAware ADS-B(SPU / LDSP)
31.10.2025 16:29:59;42.7343;17.7735;304;328;377;15325;2063;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:30:29;42.7626;17.7239;309;341;392;16350;2025;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:30:59;42.7928;17.6738;309;351;404;17350;2025;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:31:29;42.8233;17.6216;308;357;411;18375;2075;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:31:59;42.8542;17.5673;308;361;415;19425;2041;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:32:30;42.8859;17.5115;308;366;421;20450;1770;FlightAware ADS-B(TQR / LINI)
31.10.2025 16:33:00;42.9172;17.4563;308;377;434;21225;1525;FlightAware ADS-B(TQR / LINI)
31.10.2025 16:33:30;42.9494;17.3997;307;386;444;21975;1475;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:34:00;42.9833;17.3398;309;394;453;22700;1550;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:34:30;43.0171;17.2804;308;401;461;23525;1575;FlightAware ADS-B(DBV / LDDU)
31.10.2025 16:35:00;43.0504;17.2207;307;407;468;24275;1425;FlightAware ADS-B(LDOR)
31.10.2025 16:35:30;43.0853;17.1592;307;415;478;24950;1225;FlightAware ADS-B(LCC / LIBN)
31.10.2025 16:36:00;43.1207;17.0958;307;426;490;25500;1050;FlightAware ADS-B(SPU / LDSP)
31.10.2025 16:36:30;43.1568;17.0312;307;436;502;26000;1025;FlightAware ADS-B(SPU / LDSP)
31.10.2025 16:37:00;43.1939;16.9644;308;443;510;26525;1100;FlightAware ADS-B(SPU / LDSP)
31.10.2025 16:37:30;43.2312;16.8983;307;448;516;27100;1200;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:38:00;43.2686;16.8303;308;450;518;27725;1250;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:38:30;43.3073;16.7606;307;451;519;28350;1262;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:39:03;43.3508;16.6823;308;453;521;29050;1214;FlightAware ADS-B(PSR / LIBP)
31.10.2025 16:39:33;43.3868;16.6164;307;454;522;29625;1205;FlightAware ADS-B(FOG / LIBF)
31.10.2025 16:40:04;43.4262;16.5453;307;455;524;30275;1230;FlightAware ADS-B(PSR / LIBP)
31.10.2025 16:40:34;43.4633;16.4774;306;455;524;30875;1200;FlightAware ADS-B(FOG / LIBF)
31.10.2025 16:41:04;43.5013;16.4080;307;456;525;31475;1225;FlightAware ADS-B(AOI / LIPY)
31.10.2025 16:41:34;43.5399;16.3369;307;457;526;32100;1250;FlightAware ADS-B(FOG / LIBF)
31.10.2025 16:42:04;43.5777;16.2684;308;456;525;32725;1235;FlightAware ADS-B(LDOB)
31.10.2025 16:42:25;43.6046;16.2192;306;456;525;33150;1265;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:42:55;43.6420;16.1500;308;454;522;33800;1325;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:43:25;43.6799;16.0793;306;451;519;34475;1325;FlightAware ADS-B(BDS / LIBR)
31.10.2025 16:43:55;43.7173;16.0110;307;450;518;35125;1275;FlightAware ADS-B(SJJ / LQSA)
31.10.2025 16:44:25;43.7535;15.9433;307;448;516;35750;1275;FlightAware ADS-B(TQR / LINI)
31.10.2025 16:44:55;43.7922;15.8718;307;448;516;36400;1254;FlightAware ADS-B(AOI / LIPY)
31.10.2025 16:45:26;43.8306;15.7995;306;447;514;37025;1205;FlightAware ADS-B(PSR / LIBP)
31.10.2025 16:45:56;43.8668;15.7330;307;445;512;37625;1205;FlightAware ADS-B(ZAD / LDZD)
31.10.2025 16:46:27;43.9031;15.6641;307;442;509;38250;1254;FlightAware ADS-B(ZAD / LDZD)
31.10.2025 16:46:57;43.9417;15.5919;306;438;504;38900;1250;FlightAware ADS-B(PSR / LIBP)
31.10.2025 16:47:27;43.9765;15.5269;306;433;498;39500;1075;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:47:57;44.0120;15.4599;306;431;496;39975;500;FlightAware ADS-B(AOI / LIPY)
31.10.2025 16:48:27;44.0477;15.3918;307;440;506;40000;25;FlightAware ADS-B(AOI / LIPY)
31.10.2025 16:48:56;44.0818;15.3279;306;446;513;40000;;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:49:27;44.1189;15.2561;307;449;517;40000;;FlightAware ADS-B(BRI / LIBD)
31.10.2025 16:49:57;44.1556;15.1877;306;450;518;40000;;FlightAware ADS-B(LIRC)
31.10.2025 16:50:27;44.1925;15.1165;305;451;519;40000;;FlightAware ADS-B(PSR / LIBP)
31.10.2025 16:50:44;44.2135;15.0761;306;451;519;40000;;FlightAware ADS-B(AVB / LIPA)
31.10.2025 16:51:14;44.2497;15.0072;305;452;520;40000;;FlightAware ADS-B(AVB / LIPA)
31.10.2025 16:51:44;44.2873;14.9352;307;453;521;40000;;FlightAware ADS-B(LJU / LJLJ)
31.10.2025 16:52:14;44.3245;14.8632;306;454;522;40000;;FlightAware ADS-B(AVB / LIPA)
31.10.2025 16:52:44;44.3608;14.7937;305;454;522;40000;;FlightAware ADS-B(QRT / LIQN)
31.10.2025 16:53:14;44.3974;14.7223;307;454;522;40000;;FlightAware ADS-B(RMI / LIPR)
31.10.2025 16:53:44;44.4350;14.6497;305;454;522;40000;;FlightAware ADS-B(BLQ / LIPE)
31.10.2025 16:54:05;44.4614;14.5982;306;454;522;40000;;FlightAware ADS-B(LIDT)
31.10.2025 16:54:37;44.5003;14.5224;305;455;524;40000;;FlightAware ADS-B(LIDC)
31.10.2025 16:55:04;44.5329;14.4591;307;455;524;40000;;FlightAware ADS-B(PEG / LIRZ)
31.10.2025 16:55:34;44.5689;14.3886;305;456;525;40000;;FlightAware ADS-B(RMI / LIPR)
31.10.2025 16:56:04;44.6069;14.3144;305;457;526;40000;;FlightAware ADS-B(RMI / LIPR)
31.10.2025 16:56:34;44.6427;14.2435;306;456;525;40000;;FlightAware ADS-B(EBA / LIRJ)
31.10.2025 16:57:05;44.6814;14.1677;305;455;524;40000;;FlightAware ADS-B(EBA / LIRJ)
31.10.2025 16:57:35;44.7177;14.0953;305;456;525;40000;;FlightAware ADS-B(EBA / LIRJ)
31.10.2025 16:58:07;44.7569;14.0184;305;456;525;40000;;FlightAware ADS-B(RJK / LDRI)
31.10.2025 16:58:38;44.7937;13.9452;305;454;522;40000;;FlightAware ADS-B(AOI / LIPY)
31.10.2025 16:59:09;44.8318;13.8690;306;454;522;40000;;FlightAware ADS-B(AOI / LIPY)
31.10.2025 16:59:39;44.8676;13.7972;305;453;521;40000;;FlightAware ADS-B(LIDT)
31.10.2025 17:00:09;44.9041;13.7246;305;454;522;40000;;FlightAware ADS-B(AOI / LIPY)
31.10.2025 17:00:40;44.9411;13.6501;306;454;522;40000;;FlightAware ADS-B(PSR / LIBP)
31.10.2025 17:01:10;44.9771;13.5772;305;452;520;40000;;FlightAware ADS-B(PSR / LIBP)
31.10.2025 17:01:40;45.0122;13.5066;305;451;519;40000;;FlightAware ADS-B(LIDC)
31.10.2025 17:02:10;45.0492;13.4327;305;453;521;40000;;FlightAware ADS-B(PSR / LIBP)
31.10.2025 17:02:41;45.0846;13.3605;305;451;519;40000;;FlightAware ADS-B(LIDC)
31.10.2025 17:03:11;45.1204;13.2868;305;449;517;40000;;FlightAware ADS-B(BLQ / LIPE)
31.10.2025 17:03:33;45.1498;13.2389;317;446;513;40000;;FlightAware ADS-B(MXP / LIMC)
31.10.2025 17:04:03;45.1959;13.1843;322;443;510;40000;;FlightAware ADS-B(LIPU)
31.10.2025 17:04:19;45.2244;13.1538;323;443;510;40000;;FlightAware ADS-B(SOB / LHSM)
31.10.2025 17:04:49;45.2711;13.1047;323;442;509;40000;;FlightAware ADS-B(LJNM)
31.10.2025 17:05:19;45.3207;13.0505;322;441;507;40000;;FlightAware ADS-B(LIDU)
31.10.2025 17:05:49;45.3701;12.9963;322;438;504;40000;;FlightAware ADS-B(LIDU)
31.10.2025 17:06:19;45.4187;12.9437;322;437;503;40000;;FlightAware ADS-B(VRN / LIPX)
31.10.2025 17:06:49;45.4665;12.8911;323;436;502;40000;;FlightAware ADS-B(VRN / LIPX)
31.10.2025 17:07:28;45.5266;12.8251;323;434;499;40000;;FlightAware ADS-B(GRZ / LOWG)
31.10.2025 17:07:58;45.5746;12.7715;322;433;498;40000;;FlightAware ADS-B(LIPU)
31.10.2025 17:08:28;45.6233;12.7188;322;432;497;40000;;FlightAware ADS-B(LIPU)
31.10.2025 17:08:58;45.6704;12.6661;322;433;498;40000;;FlightAware ADS-B(LIPU)
31.10.2025 17:09:28;45.7158;12.6157;322;432;497;40000;;FlightAware ADS-B(LIDU)
31.10.2025 17:09:58;45.7644;12.5616;322;432;497;40000;;FlightAware ADS-B(PUY / LDPL)
31.10.2025 17:10:28;45.8097;12.5113;322;433;498;40000;;FlightAware ADS-B(LIKE)
31.10.2025 17:10:58;45.8578;12.4569;322;434;499;40000;;FlightAware ADS-B(LIAO)
31.10.2025 17:11:29;45.9082;12.4014;322;436;502;40000;;FlightAware ADS-B(LIPU)
