time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
15.10.2025 14:41:17;41.1566;1.2046;76;162;186;1700;;Surface and Near-Surface
15.10.2025 14:41:17;41.1566;1.2046;76;162;186;1700;1800;Surface and Near-Surface
15.10.2025 14:41:27;41.1586;1.2143;74;174;200;2000;2056;FlightAware ADS-B(REU / LERS)
15.10.2025 14:41:44;41.1632;1.2323;69;187;215;2625;2691;FlightAware ADS-B(LELL)
15.10.2025 14:42:01;41.1691;1.2514;66;190;219;3525;3122;FlightAware ADS-B(LELL)
15.10.2025 14:42:21;41.1761;1.2715;65;190;219;4550;3210;FlightAware ADS-B(LELL)
15.10.2025 14:42:51;41.1872;1.3051;67;194;223;6200;3196;FlightAware ADS-B(LELL)
15.10.2025 14:43:07;41.1925;1.3215;67;196;226;7000;2956;FlightAware ADS-B(LELL)
15.10.2025 14:43:25;41.2000;1.3406;48;202;232;7875;2743;FlightAware ADS-B(REU / LERS)
15.10.2025 14:43:42;41.2141;1.3507;14;213;245;8600;2550;FlightAware ADS-B(LELL)
15.10.2025 14:44:05;41.2381;1.3538;360;237;273;9575;2591;FlightAware ADS-B(REU / LERS)
15.10.2025 14:44:37;41.2764;1.3516;357;274;315;10975;2452;FlightAware ADS-B(ZAZ / LEZG)
15.10.2025 14:45:08;41.3176;1.3497;359;312;359;12150;2719;FlightAware ADS-B(BCN / LEBL)
15.10.2025 14:45:25;41.3435;1.3496;0;325;374;13150;3839;FlightAware ADS-B(BCN / LEBL)
15.10.2025 14:46:07;41.4091;1.3481;357;340;391;15925;3813;FlightAware ADS-B(BCN / LEBL)
15.10.2025 14:46:37;41.4561;1.3440;356;349;402;17725;3467;FlightAware ADS-B(LELL)
15.10.2025 14:47:08;41.5055;1.3395;357;358;412;19450;3172;FlightAware ADS-B(REU / LERS)
15.10.2025 14:47:38;41.5557;1.3355;357;368;423;20950;3000;FlightAware ADS-B(ZAZ / LEZG)
15.10.2025 14:48:08;41.6085;1.3311;357;376;433;22450;2803;FlightAware ADS-B(LEMN)
15.10.2025 14:48:39;41.6633;1.3262;356;384;442;23800;2508;FlightAware ADS-B(ZAZ / LEZG)
15.10.2025 14:49:09;41.7171;1.3220;356;393;452;25000;2425;FlightAware ADS-B(BCN / LEBL)
15.10.2025 14:49:39;41.7716;1.3174;356;398;458;26225;2350;FlightAware ADS-B(ZAZ / LEZG)
15.10.2025 14:50:09;41.8262;1.3126;356;403;464;27350;2050;FlightAware ADS-B(TLS / LFBO)
15.10.2025 14:50:39;41.8833;1.3079;356;411;473;28275;2075;FlightAware ADS-B(ZAZ / LEZG)
15.10.2025 14:51:09;41.9392;1.3032;356;409;471;29425;2225;FlightAware ADS-B(LEMN)
15.10.2025 14:51:39;41.9976;1.2981;356;408;470;30500;2075;FlightAware ADS-B(LEGS)
15.10.2025 14:52:09;42.0520;1.2936;357;407;468;31500;1451;FlightAware ADS-B(TLS / LFBO)
15.10.2025 14:52:40;42.1123;1.2885;356;418;481;31975;526;FlightAware ADS-B(LELL)
15.10.2025 14:53:06;42.1616;1.2840;355;433;498;32000;22;FlightAware ADS-B(LEAP)
15.10.2025 14:53:48;42.2463;1.2598;345;441;507;32000;;FlightAware ADS-B(ZAZ / LEZG)
15.10.2025 14:54:18;42.3049;1.2382;344;438;504;32000;550;FlightAware ADS-B(LDE / LFBT)
15.10.2025 14:54:48;42.3623;1.2163;345;432;497;32550;1275;FlightAware ADS-B(LEPB)
15.10.2025 14:55:18;42.4200;1.1955;345;429;494;33275;1400;FlightAware ADS-B(LELL)
15.10.2025 14:55:48;42.4790;1.1744;345;429;494;33950;713;FlightAware ADS-B(PGF / LFMP)
15.10.2025 14:56:19;42.5391;1.1525;345;441;507;34000;49;FlightAware ADS-B(MRS / LFML)
15.10.2025 14:56:49;42.5965;1.1320;345;444;511;34000;;FlightAware ADS-B(LFDM)
