time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
16.10.2025 09:46:41;52.4538;5.5157;48;137;158;;;FlightAware ADS-B(LEY / EHLE)
16.10.2025 09:46:47;52.4559;5.5194;48;133;153;175;3938;Surface and Near-Surface
16.10.2025 09:46:57;52.4602;5.5273;48;127;146;875;3577;FlightAware ADS-B(LEY / EHLE)
16.10.2025 09:47:13;52.4671;5.5399;48;140;161;1725;3047;FlightAware ADS-B(AMS / EHAM)
16.10.2025 09:47:29;52.4742;5.5530;49;149;171;2500;1734;FlightAware ADS-B(EHHV)
16.10.2025 09:47:45;52.4818;5.5669;48;171;197;2650;328;FlightAware ADS-B(LEY / EHLE)
16.10.2025 09:48:01;52.4910;5.5832;46;177;204;2675;47;FlightAware ADS-B(LEY / EHLE)
16.10.2025 09:48:17;52.4998;5.5979;45;178;205;2675;;FlightAware ADS-B(UTC / EHSB)
16.10.2025 09:48:33;52.5098;5.6134;41;179;206;2675;79;FlightAware ADS-B(GRQ / EHGG)
16.10.2025 09:48:55;52.5246;5.6323;35;178;205;2725;786;FlightAware ADS-B(DHR / EHKD)
16.10.2025 09:49:15;52.5380;5.6475;38;188;216;3225;1539;FlightAware ADS-B(LEY / EHLE)
16.10.2025 09:49:33;52.5451;5.6704;82;208;239;3700;1583;FlightAware ADS-B(EHDB)
16.10.2025 09:49:51;52.5381;5.6979;135;229;264;4175;1500;FlightAware ADS-B(EHTE)
16.10.2025 09:50:09;52.5217;5.7110;163;239;275;4600;1500;FlightAware ADS-B(AMS / EHAM)
16.10.2025 09:50:39;52.4874;5.7263;165;241;277;5375;1375;FlightAware ADS-B(ETWM)
16.10.2025 09:51:09;52.4563;5.7393;166;252;290;5975;1800;FlightAware ADS-B(EDLS)
16.10.2025 09:51:39;52.4210;5.7537;166;269;310;7175;2825;FlightAware ADS-B(AMS / EHAM)
16.10.2025 09:52:09;52.3815;5.7703;165;297;342;8800;2204;FlightAware ADS-B(EHTE)
16.10.2025 09:52:28;52.3552;5.7816;165;307;353;8975;308;FlightAware ADS-B(DHR / EHKD)
16.10.2025 09:52:48;52.3294;5.7929;165;307;353;9000;39;FlightAware ADS-B(EHTL)
16.10.2025 09:53:06;52.3053;5.8067;150;304;350;9000;42;FlightAware ADS-B(AMS / EHAM)
16.10.2025 09:53:24;52.2890;5.8354;120;294;338;9025;1297;FlightAware ADS-B(ETWM)
16.10.2025 09:53:43;52.2830;5.8724;105;277;319;9800;2659;FlightAware ADS-B(DHR / EHKD)
16.10.2025 09:54:08;52.2694;5.9255;117;303;349;10975;2780;FlightAware ADS-B(EBCV)
16.10.2025 09:54:24;52.2586;5.9579;119;320;368;11700;2289;FlightAware ADS-B(LEY / EHLE)
16.10.2025 09:54:46;52.2413;6.0083;119;351;404;12425;1279;FlightAware ADS-B(GRQ / EHGG)
16.10.2025 09:55:25;52.2102;6.1033;116;395;455;13000;605;FlightAware ADS-B(ENS / EHTW)
16.10.2025 09:55:43;52.1930;6.1500;132;403;464;13000;;FlightAware ADS-B(EHDL)
