time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
18.10.2025 11:18:39;50.7032;8.0917;128;145;167;2194;;FlightAware ADS-B(EDKF)
18.10.2025 11:18:55;50.6963;8.1056;129;157;181;2919;2813;FlightAware ADS-B(EDKF)
18.10.2025 11:19:11;50.6880;8.1198;135;166;191;3694;2813;FlightAware ADS-B(EDGB)
18.10.2025 11:19:27;50.6787;8.1338;137;180;207;4419;2484;FlightAware ADS-B(EDKF)
18.10.2025 11:19:43;50.6685;8.1495;134;200;230;5019;2514;FlightAware ADS-B(EDKF)
18.10.2025 11:20:04;50.6551;8.1722;131;211;243;5969;2959;FlightAware ADS-B(EDFY)
18.10.2025 11:20:20;50.6450;8.1915;128;218;251;6844;3284;FlightAware ADS-B(EDKB)
18.10.2025 11:20:41;50.6326;8.2182;125;227;261;7994;3147;FlightAware ADS-B(CGN / EDDK)
18.10.2025 11:21:11;50.6138;8.2620;124;250;288;9519;3098;FlightAware ADS-B(FRA / EDDF)
18.10.2025 11:21:27;50.6016;8.2864;132;265;305;10369;3074;FlightAware ADS-B(FRA / EDDF)
18.10.2025 11:22:12;50.5596;8.3518;135;313;360;12644;3079;FlightAware ADS-B(EDRK)
18.10.2025 11:22:42;50.5267;8.4042;134;347;399;14218;3074;FlightAware ADS-B(EDFZ)
18.10.2025 11:23:12;50.4909;8.4617;135;378;435;15718;3100;FlightAware ADS-B(FRA / EDDF)
18.10.2025 11:23:42;50.4540;8.5200;135;401;461;17318;3250;FlightAware ADS-B(EDGA)
18.10.2025 11:24:12;50.4131;8.5851;134;417;480;18968;3175;FlightAware ADS-B(FRZ / ETHF)
18.10.2025 11:24:42;50.3724;8.6495;135;428;493;20493;3225;FlightAware ADS-B(EDGP)
18.10.2025 11:25:12;50.3299;8.7163;135;435;501;22193;3319;FlightAware ADS-B(EDLF)
18.10.2025 11:25:29;50.3051;8.7552;135;437;503;23093;3094;FlightAware ADS-B(EDFZ)
18.10.2025 11:25:59;50.2633;8.8213;135;439;505;24617;2774;FlightAware ADS-B(FRA / EDDF)
18.10.2025 11:26:29;50.2189;8.8907;135;450;518;25867;2200;FlightAware ADS-B(CGN / EDDK)
18.10.2025 11:26:59;50.1759;8.9579;135;463;533;26817;1975;FlightAware ADS-B(FRA / EDDF)
18.10.2025 11:27:29;50.1285;9.0317;135;472;543;27842;2073;FlightAware ADS-B(FRA / EDDF)
18.10.2025 11:27:54;50.0893;9.0926;135;479;551;28717;2045;FlightAware ADS-B(EDEF)
18.10.2025 11:28:24;50.0424;9.1652;135;483;556;29717;1951;FlightAware ADS-B(EDFB)
18.10.2025 11:28:54;49.9955;9.2379;135;487;560;30668;1951;FlightAware ADS-B(ETOU)
18.10.2025 11:29:24;49.9483;9.3105;135;487;560;31668;1925;FlightAware ADS-B(QEF / EDFE)
18.10.2025 11:29:54;49.8989;9.3860;135;489;563;32593;1400;FlightAware ADS-B(EDEL)
18.10.2025 11:30:24;49.8517;9.4586;135;496;571;33068;775;FlightAware ADS-B(MHG / EDFM)
18.10.2025 11:30:54;49.8032;9.5329;136;504;580;33368;326;FlightAware ADS-B(GKE / ETNG)
18.10.2025 11:31:24;49.7521;9.6104;135;508;585;33394;26;FlightAware ADS-B(GKE / ETNG)
18.10.2025 11:31:54;49.7021;9.6865;136;512;589;33394;400;FlightAware ADS-B(STR / EDDS)
18.10.2025 11:32:24;49.6514;9.7626;136;507;583;33794;1075;FlightAware ADS-B(EDQC)
18.10.2025 11:32:54;49.6009;9.8391;135;502;578;34469;1175;FlightAware ADS-B(CGN / EDDK)
18.10.2025 11:33:24;49.5504;9.9154;136;501;577;34969;1226;FlightAware ADS-B(EDSH)
18.10.2025 11:33:54;49.5006;9.9895;136;500;575;35695;1351;FlightAware ADS-B(EDFW)
18.10.2025 11:34:24;49.4521;10.0621;136;498;573;36320;1375;FlightAware ADS-B(FRA / EDDF)
18.10.2025 11:34:54;49.4035;10.1347;136;496;571;37070;1500;FlightAware ADS-B(ETED)
18.10.2025 11:35:24;49.3535;10.2090;136;490;564;37820;1409;FlightAware ADS-B(STR / EDDS)
18.10.2025 11:36:16;49.2703;10.3323;136;483;556;38996;1311;FlightAware ADS-B(ETEB)
