time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
20.10.2025 18:34:14;50.4549;4.4341;248;146;168;1775;;FlightAware ADS-B(EBCF)
20.10.2025 18:34:30;50.4511;4.4176;252;146;168;2750;3469;FlightAware ADS-B(ANR / EBAW)
20.10.2025 18:34:46;50.4477;4.4028;248;143;165;3625;2906;FlightAware ADS-B(MST / EHBK)
20.10.2025 18:35:02;50.4433;4.3874;245;156;180;4300;2719;FlightAware ADS-B(EBGB)
20.10.2025 18:35:18;50.4376;4.3684;245;173;199;5075;2766;FlightAware ADS-B(EBGB)
20.10.2025 18:35:34;50.4320;4.3497;245;191;220;5775;2484;FlightAware ADS-B(EBBZ)
20.10.2025 18:35:50;50.4264;4.3303;246;208;239;6400;2576;FlightAware ADS-B(BRU / EBBR)
20.10.2025 18:36:20;50.4126;4.2844;245;239;275;7750;2563;FlightAware ADS-B(EBGB)
20.10.2025 18:36:38;50.4094;4.2544;276;269;310;8450;2475;FlightAware ADS-B(LFAG)
20.10.2025 18:37:00;50.4123;4.2096;276;287;330;9400;2679;FlightAware ADS-B(OBL / EBZR)
20.10.2025 18:37:34;50.4174;4.1311;273;319;367;10950;2654;FlightAware ADS-B(EBGB)
20.10.2025 18:38:05;50.4190;4.0589;272;342;394;12275;2480;FlightAware ADS-B(EBNM)
20.10.2025 18:38:23;50.4214;4.0174;288;368;423;12975;2667;FlightAware ADS-B(KJK / EBKT)
20.10.2025 18:38:41;50.4382;3.9713;311;395;455;13875;3000;FlightAware ADS-B(EBNM)
20.10.2025 18:38:58;50.4603;3.9419;325;412;474;14725;3316;FlightAware ADS-B(ANR / EBAW)
20.10.2025 18:39:19;50.4970;3.9096;334;429;494;15975;3767;FlightAware ADS-B(GKE / ETNG)
20.10.2025 18:39:41;50.5394;3.8810;338;437;503;17425;3865;FlightAware ADS-B(BRU / EBBR)
20.10.2025 18:40:11;50.5954;3.8467;338;437;503;19325;2525;FlightAware ADS-B(EBAM)
20.10.2025 18:40:41;50.6506;3.8111;338;446;513;19950;675;FlightAware ADS-B(EBEU)
20.10.2025 18:41:11;50.7090;3.7730;338;454;522;20000;48;FlightAware ADS-B(SEN / EGMC)
20.10.2025 18:41:43;50.7736;3.7315;338;464;534;20000;;FlightAware ADS-B(EBGB)
20.10.2025 18:42:13;50.8294;3.6956;338;443;510;20000;;FlightAware ADS-B(LFQO)
20.10.2025 18:42:43;50.8855;3.6588;338;442;509;20000;;FlightAware ADS-B(CGN / EDDK)
20.10.2025 18:43:11;50.9400;3.6236;338;437;503;20000;;FlightAware ADS-B(RTM / EHRD)
20.10.2025 18:43:49;51.0082;3.5791;338;432;497;20000;;FlightAware ADS-B(EBHN)
20.10.2025 18:44:19;51.0635;3.5428;338;436;502;20000;;FlightAware ADS-B(MSE / EGMH)
20.10.2025 18:44:35;51.0959;3.5216;338;441;507;20000;;FlightAware ADS-B(EBUL)
20.10.2025 18:45:00;51.1420;3.4914;338;444;511;20000;;FlightAware ADS-B(BRU / EBBR)
20.10.2025 18:45:30;51.1988;3.4544;338;446;513;20000;;FlightAware ADS-B(BRU / EBBR)
20.10.2025 18:46:13;51.2811;3.3997;338;448;516;20000;-24;FlightAware ADS-B(GLZ / EHGR)
20.10.2025 18:46:33;51.3185;3.3723;327;443;510;19975;;FlightAware ADS-B(EBGB)
20.10.2025 18:46:49;51.3424;3.3373;309;430;495;20000;43;FlightAware ADS-B(MSE / EGMH)
20.10.2025 18:47:08;51.3623;3.2883;299;422;486;20000;;FlightAware ADS-B(ENS / EHTW)
20.10.2025 18:47:33;51.3827;3.2172;292;418;481;20000;;FlightAware ADS-B(FMO / EDDG)
20.10.2025 18:47:58;51.3998;3.1459;290;416;479;20000;;FlightAware ADS-B(EIN / EHEH)
20.10.2025 18:48:28;51.4196;3.0581;290;416;479;20000;;FlightAware ADS-B(EBBY)
20.10.2025 18:49:18;51.4523;2.9153;290;415;478;20000;;FlightAware ADS-B(EBUL)
20.10.2025 18:49:48;51.4724;2.8292;291;414;476;20000;;FlightAware ADS-B(EBHN)
20.10.2025 18:50:11;51.4876;2.7637;290;414;476;20000;;FlightAware ADS-B(EBFN)
20.10.2025 18:50:41;51.5075;2.6770;290;414;476;20000;;FlightAware ADS-B(EGSV)
20.10.2025 18:51:24;51.5361;2.5530;290;413;475;20000;;FlightAware ADS-B(EGSQ)
20.10.2025 18:51:54;51.5560;2.4669;290;413;475;20000;-600;FlightAware ADS-B(EBME)
20.10.2025 18:52:14;51.5691;2.4087;290;408;470;19500;-1703;FlightAware ADS-B(EGTR)
20.10.2025 18:52:31;51.5784;2.3600;281;385;443;18950;-1855;FlightAware ADS-B(BRU / EBBR)
20.10.2025 18:52:52;51.5806;2.3027;271;369;425;18325;-1676;FlightAware ADS-B(LFIS)
20.10.2025 18:53:22;51.5806;2.2240;269;373;429;17525;-1675;FlightAware ADS-B(LCY / EGLC)
20.10.2025 18:53:52;51.5802;2.1372;270;376;433;16650;-1719;FlightAware ADS-B(MSE / EGMH)
20.10.2025 18:54:10;51.5801;2.0882;271;376;433;16150;-1765;FlightAware ADS-B(EGSQ)
20.10.2025 18:54:26;51.5817;2.0448;269;373;429;15650;-1683;FlightAware ADS-B(EGTH)
20.10.2025 18:54:51;51.5765;1.9735;260;368;423;15000;-1981;FlightAware ADS-B(BEQ / EGXH)
20.10.2025 18:55:19;51.5673;1.8974;259;368;423;13900;-2302;FlightAware ADS-B(STN / EGSS)
20.10.2025 18:55:49;51.5579;1.8227;258;361;415;12775;-2075;FlightAware ADS-B(NWI / EGSH)
20.10.2025 18:56:19;51.5483;1.7447;259;347;399;11825;-1914;FlightAware ADS-B(EGSQ)
20.10.2025 18:56:47;51.5400;1.6747;259;332;382;10925;-1373;FlightAware ADS-B(LYX / EGMD)
20.10.2025 18:57:18;51.5318;1.6061;259;296;341;10475;-950;FlightAware ADS-B(RCS / EGTO)
20.10.2025 18:57:47;51.5246;1.5421;260;269;310;9975;-1100;FlightAware ADS-B(LYX / EGMD)
20.10.2025 18:58:03;51.5192;1.5147;243;261;300;9650;-1216;FlightAware ADS-B(EGSR)
