time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
21.10.2025 16:15:47;35.8586;14.4768;316;159;183;975;;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:16:03;35.8676;14.4661;314;167;192;1850;3234;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:16:19;35.8754;14.4547;307;166;191;2700;3469;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:16:35;35.8825;14.4424;305;161;185;3700;3609;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:16:51;35.8899;14.4298;306;165;190;4625;3128;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:17:22;35.9033;14.4045;301;184;212;6150;3280;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:17:50;35.9149;14.3784;299;188;216;7850;3467;FlightAware ADS-B(CIY / LICB)
21.10.2025 16:18:07;35.9256;14.3661;337;205;236;8750;2956;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:18:24;35.9435;14.3669;20;243;280;9525;2802;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:19:00;35.9830;14.3980;34;299;344;11225;2946;FlightAware ADS-B(CIY / LICB)
21.10.2025 16:19:20;36.0037;14.4227;60;330;380;12275;3180;FlightAware ADS-B(CIY / LICB)
21.10.2025 16:19:50;36.0147;14.4806;86;371;427;13875;2852;FlightAware ADS-B(CIY / LICB)
21.10.2025 16:20:21;36.0152;14.5483;91;408;470;15175;2656;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:20:51;36.0146;14.6213;90;430;495;16575;2925;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:21:21;36.0155;14.6946;89;444;511;18100;3125;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:21:51;36.0164;14.7734;89;453;521;19700;3121;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:22:23;36.0172;14.8551;89;458;527;21325;2589;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:22:53;36.0180;14.9353;90;473;544;22375;2115;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:23:24;36.0187;15.0204;89;482;555;23475;2238;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:23:54;36.0194;15.1049;90;487;560;24650;2300;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:24:24;36.0199;15.1886;90;491;565;25775;2050;FlightAware ADS-B(CIY / LICB)
21.10.2025 16:24:54;36.0204;15.2731;90;499;574;26700;1725;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:25:24;36.0209;15.3598;90;507;583;27500;1500;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:25:54;36.0213;15.4453;90;513;590;28200;1426;FlightAware ADS-B(CIY / LICB)
21.10.2025 16:26:25;36.0217;15.5341;90;518;596;28950;1451;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:26:55;36.0219;15.6224;90;521;600;29675;1375;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:27:25;36.0222;15.7111;90;524;603;30325;1350;FlightAware ADS-B(REG / LICR)
21.10.2025 16:27:55;36.0224;15.8043;90;524;603;31025;1475;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:28:25;36.0224;15.8929;90;521;600;31800;1500;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:28:55;36.0225;15.9825;90;520;598;32525;1425;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:29:25;36.0225;16.0719;90;518;596;33225;1475;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:29:55;36.0222;16.1595;90;514;592;34000;1600;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:30:25;36.0221;16.2477;90;509;586;34825;1550;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:30:55;36.0219;16.3354;90;507;583;35550;1450;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:31:25;36.0216;16.4229;90;503;579;36275;1325;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:31:55;36.0213;16.5068;90;504;580;36875;1075;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:32:25;36.0209;16.5934;90;507;583;37350;713;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:32:56;36.0204;16.6830;90;514;592;37600;590;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:33:26;36.0199;16.7718;91;518;596;37950;750;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:33:56;36.0190;16.8604;90;517;595;38350;975;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:34:26;36.0186;16.9482;90;512;589;38925;1200;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:34:56;36.0177;17.0358;91;505;581;39550;1375;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:35:26;36.0170;17.1189;91;495;570;40300;1100;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:35:56;36.0161;17.2065;91;497;572;40650;600;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:36:26;36.0152;17.2900;91;499;574;40900;300;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:37:06;36.0140;17.4039;91;505;581;41000;236;FlightAware ADS-B(CTA / LICC)
21.10.2025 16:37:36;36.0129;17.4904;91;503;579;41175;664;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:38:07;36.0117;17.5804;91;497;572;41675;811;FlightAware ADS-B(GPA / LGRX)
21.10.2025 16:38:37;36.0105;17.6642;91;496;571;42000;550;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:39:07;36.0094;17.7495;91;498;573;42225;369;FlightAware ADS-B(MLA / LMML)
21.10.2025 16:39:38;36.0080;17.8370;91;500;575;42375;295;FlightAware ADS-B(CIY / LICB)
21.10.2025 16:40:08;36.0067;17.9203;91;501;577;42525;325;FlightAware ADS-B(MLA / LMML)
