time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
22.10.2025 13:37:12;45.7343;16.0555;229;143;165;1050;;Surface and Near-Surface
22.10.2025 13:37:12;45.7343;16.0555;229;143;165;1050;2850;Surface and Near-Surface
22.10.2025 13:37:22;45.7296;16.0477;229;150;173;1525;2845;FlightAware ADS-B(LDDD)
22.10.2025 13:37:41;45.7211;16.0336;229;155;178;2425;3171;FlightAware ADS-B(LDZC)
22.10.2025 13:37:57;45.7137;16.0211;230;150;173;3375;3333;FlightAware ADS-B(LDZC)
22.10.2025 13:38:17;45.7044;16.0057;240;152;175;4425;2625;FlightAware ADS-B(LDDD)
22.10.2025 13:38:33;45.7037;15.9903;292;173;199;4950;2603;FlightAware ADS-B(LDDD)
22.10.2025 13:38:51;45.7139;15.9756;325;185;213;5900;2566;FlightAware ADS-B(LDZR)
22.10.2025 13:39:11;45.7269;15.9578;311;201;231;6575;2284;FlightAware ADS-B(LOGH)
22.10.2025 13:39:35;45.7402;15.9302;305;220;253;7575;2833;FlightAware ADS-B(LDZC)
22.10.2025 13:40:05;45.7582;15.8947;306;236;272;9125;2960;FlightAware ADS-B(LOGH)
22.10.2025 13:40:50;45.7897;15.8301;305;276;318;11275;2825;FlightAware ADS-B(LDZC)
22.10.2025 13:41:22;45.8148;15.7795;305;311;358;12750;2806;FlightAware ADS-B(LDDD)
22.10.2025 13:41:52;45.8418;15.7240;305;343;395;14175;2828;FlightAware ADS-B(SOB / LHSM)
22.10.2025 13:42:23;45.8694;15.6672;305;364;419;15625;3098;FlightAware ADS-B(SOB / LHSM)
22.10.2025 13:42:53;45.8995;15.6054;305;377;434;17325;3375;FlightAware ADS-B(SOB / LHSM)
22.10.2025 13:43:23;45.9292;15.5440;305;383;441;19000;3450;FlightAware ADS-B(AVB / LIPA)
22.10.2025 13:43:53;45.9593;15.4819;305;383;441;20775;3300;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:44:23;45.9896;15.4192;304;386;444;22300;3025;FlightAware ADS-B(BLQ / LIPE)
22.10.2025 13:44:53;46.0202;15.3557;305;386;444;23800;2775;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:45:23;46.0513;15.2910;304;391;450;25075;2389;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:45:47;46.0733;15.2402;300;398;458;25950;1875;FlightAware ADS-B(VIE / LOWW)
22.10.2025 13:46:07;46.0915;15.1923;296;408;470;26450;1167;FlightAware ADS-B(ZAG / LDZA)
22.10.2025 13:46:23;46.1023;15.1496;283;419;482;26650;682;FlightAware ADS-B(LDOR)
22.10.2025 13:46:40;46.1033;15.1029;266;428;493;26825;591;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:46:56;46.0970;15.0564;255;441;507;26975;300;FlightAware ADS-B(LKZN)
22.10.2025 13:47:15;46.0877;15.0008;261;454;522;27000;42;FlightAware ADS-B(BTS / LZIB)
22.10.2025 13:47:32;46.0877;14.9514;277;463;533;27000;;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:47:49;46.0959;14.9005;288;463;533;27000;;FlightAware ADS-B(LIKO)
22.10.2025 13:48:05;46.1085;14.8542;294;460;529;27000;256;FlightAware ADS-B(LJU / LJLJ)
22.10.2025 13:48:30;46.1333;14.7840;299;452;520;27175;476;FlightAware ADS-B(AOI / LIPY)
22.10.2025 13:49:08;46.1716;14.6875;299;454;522;27500;529;FlightAware ADS-B(AVB / LIPA)
22.10.2025 13:49:38;46.2028;14.6061;299;454;522;27775;467;FlightAware ADS-B(SOB / LHSM)
22.10.2025 13:50:09;46.2342;14.5252;299;457;526;27975;221;FlightAware ADS-B(LIPF)
22.10.2025 13:50:39;46.2647;14.4471;299;453;521;28000;25;FlightAware ADS-B(LIPG)
22.10.2025 13:51:09;46.2955;14.3676;299;451;519;28000;;FlightAware ADS-B(VCE / LIPZ)
22.10.2025 13:51:39;46.3263;14.2882;299;453;521;28000;;FlightAware ADS-B(AVB / LIPA)
22.10.2025 13:52:09;46.3569;14.2093;299;455;524;28000;;FlightAware ADS-B(LOGH)
22.10.2025 13:52:39;46.3876;14.1296;299;456;525;28000;;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:53:10;46.4191;14.0477;299;455;524;28000;;FlightAware ADS-B(LIPI)
22.10.2025 13:53:40;46.4509;13.9648;299;455;524;28000;;FlightAware ADS-B(LOGH)
22.10.2025 13:54:10;46.4808;13.8866;299;453;521;28000;;FlightAware ADS-B(LIPI)
22.10.2025 13:54:50;46.5212;13.7807;300;452;520;28000;;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:55:20;46.5512;13.7020;299;451;519;28000;;FlightAware ADS-B(AOI / LIPY)
22.10.2025 13:55:42;46.5732;13.6437;301;450;518;28000;;FlightAware ADS-B(VIE / LOWW)
22.10.2025 13:56:02;46.5964;13.5907;304;451;519;28000;;FlightAware ADS-B(LIDH)
22.10.2025 13:56:44;46.6473;13.4858;306;450;518;28000;;FlightAware ADS-B(GRZ / LOWG)
22.10.2025 13:57:14;46.6807;13.4140;304;448;516;28000;;FlightAware ADS-B(LOGH)
22.10.2025 13:57:44;46.7152;13.3397;304;448;516;28000;;FlightAware ADS-B(UDN / LIPD)
22.10.2025 13:58:14;46.7499;13.2648;304;449;517;28000;;FlightAware ADS-B(KLU / LOWK)
22.10.2025 13:58:44;46.7856;13.1883;304;451;519;28000;;FlightAware ADS-B(UDN / LIPD)
22.10.2025 13:59:14;46.8192;13.1157;304;452;520;28000;;FlightAware ADS-B(KLU / LOWK)
22.10.2025 13:59:44;46.8551;13.0380;304;452;520;28000;;FlightAware ADS-B(KLU / LOWK)
22.10.2025 14:00:14;46.8913;12.9596;304;452;520;28000;;FlightAware ADS-B(MUC / EDDM)
22.10.2025 14:00:44;46.9257;12.8848;304;452;520;28000;;FlightAware ADS-B(BZO / LIPB)
22.10.2025 14:01:14;46.9596;12.8108;304;452;520;28000;;FlightAware ADS-B(VCE / LIPZ)
22.10.2025 14:01:44;46.9947;12.7340;304;454;522;28000;;FlightAware ADS-B(KLU / LOWK)
22.10.2025 14:02:14;47.0284;12.6601;304;455;524;28000;;FlightAware ADS-B(BZO / LIPB)
22.10.2025 14:02:44;47.0645;12.5807;305;455;524;28000;;FlightAware ADS-B(MUC / EDDM)
22.10.2025 14:03:14;47.0994;12.5038;304;456;525;28000;;FlightAware ADS-B(ETSA)
22.10.2025 14:03:45;47.1283;12.4398;304;456;525;28000;;FlightAware ADS-B(MUC / EDDM)
22.10.2025 14:04:16;47.1716;12.3438;303;458;527;28000;;FlightAware ADS-B(MUC / EDDM)
22.10.2025 14:04:46;47.2068;12.2655;303;458;527;28000;;FlightAware ADS-B(SZG / LOWS)
22.10.2025 14:05:16;47.2398;12.1919;303;459;528;28000;;FlightAware ADS-B(EDMR)
22.10.2025 14:05:46;47.2763;12.1102;303;459;528;28000;;FlightAware ADS-B(MUC / EDDM)
22.10.2025 14:06:16;47.3115;12.0313;303;462;532;28000;;FlightAware ADS-B(MUC / EDDM)
22.10.2025 14:06:46;47.3468;11.9519;303;462;532;28000;;FlightAware ADS-B(EDNX)
22.10.2025 14:07:16;47.3808;11.8749;303;463;533;28000;-25;FlightAware ADS-B(BZO / LIPB)
22.10.2025 14:07:46;47.4174;11.7924;303;463;533;27975;;FlightAware ADS-B(MUC / EDDM)
22.10.2025 14:08:16;47.4521;11.7135;303;464;534;28000;25;FlightAware ADS-B(FDH / EDNY)
