time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
22.10.2025 18:28:35;51.3249;0.0284;206;152;175;1450;;FlightAware MLAT(5 sites)
22.10.2025 18:28:35;51.3249;0.0284;206;152;175;1450;3000;FlightAware MLAT(5 sites)
22.10.2025 18:28:54;51.3138;0.0191;214;164;189;2400;2443;FlightAware MLAT(5 sites)
22.10.2025 18:29:10;51.3046;0.0006;214;164;189;2875;1371;FlightAware MLAT(24 sites)
22.10.2025 18:29:29;51.3026;-0.0216;315;206;237;3200;1224;FlightAware MLAT(11 sites)
22.10.2025 18:29:48;51.3292;-0.0281;360;218;251;3650;353;Surface and Near-Surface
22.10.2025 18:30:20;51.3457;0.0121;106;236;272;3500;-74;FlightAware ADS-B(EGLW)
22.10.2025 18:31:30;51.3344;0.1393;93;236;272;3525;33;FlightAware MLAT(5 sites)
22.10.2025 18:31:50;51.3310;0.1746;93;236;272;3550;567;FlightAware MLAT(5 sites)
22.10.2025 18:32:15;51.3288;0.2181;93;250;288;3950;978;FlightAware MLAT(8 sites)
22.10.2025 18:32:36;51.3283;0.2586;93;260;299;4300;973;FlightAware MLAT(11 sites)
22.10.2025 18:32:52;51.3271;0.2890;93;266;306;4550;1340;FlightAware MLAT(9 sites)
22.10.2025 18:33:23;51.3233;0.3484;94;288;331;5350;1875;FlightAware MLAT(10 sites)
22.10.2025 18:33:48;51.3229;0.4040;93;280;322;6300;2667;FlightAware MLAT(6 sites)
22.10.2025 18:34:08;51.3212;0.4463;94;282;325;7350;2962;FlightAware MLAT(11 sites)
22.10.2025 18:34:27;51.3196;0.4854;93;290;334;8225;3122;FlightAware MLAT(8 sites)
22.10.2025 18:34:45;51.3188;0.5232;94;298;343;9275;3574;FlightAware MLAT(4 sites)
22.10.2025 18:35:14;51.3155;0.5897;95;324;373;11025;3169;FlightAware MLAT(12 sites)
22.10.2025 18:35:47;51.3110;0.6716;95;380;437;12550;2643;FlightAware MLAT(9 sites)
22.10.2025 18:36:17;51.3065;0.7511;95;412;474;13800;3262;FlightAware MLAT(4 sites)
