time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
23.10.2025 08:10:15;50.8542;7.1453;136;134;154;2100;;FlightAware ADS-B(EDKB)
23.10.2025 08:10:31;50.8470;7.1571;133;151;174;2800;2297;FlightAware ADS-B(EDKF)
23.10.2025 08:10:47;50.8382;7.1724;131;178;205;3325;2156;FlightAware ADS-B(CGN / EDDK)
23.10.2025 08:11:03;50.8296;7.1888;129;194;223;3950;2578;FlightAware ADS-B(CGN / EDDK)
23.10.2025 08:11:19;50.8204;7.2073;127;204;235;4700;3375;FlightAware ADS-B(CGN / EDDK)
23.10.2025 08:11:35;50.8134;7.2320;107;220;253;5750;3429;FlightAware ADS-B(EDKZ)
23.10.2025 08:11:54;50.8097;7.2605;99;234;269;6700;3469;FlightAware ADS-B(CGN / EDDK)
23.10.2025 08:12:23;50.8063;7.3096;95;238;274;8525;3382;FlightAware ADS-B(EDRA)
23.10.2025 08:12:49;50.8036;7.3571;96;265;305;9800;2759;FlightAware ADS-B(DUS / EDDL)
23.10.2025 08:13:19;50.7985;7.4197;97;309;356;11100;2774;FlightAware ADS-B(EDKI)
23.10.2025 08:13:42;50.7935;7.4721;100;323;372;12250;3453;FlightAware ADS-B(EDRK)
23.10.2025 08:14:12;50.7856;7.5411;100;326;375;14150;3850;FlightAware ADS-B(EDKN)
23.10.2025 08:14:42;50.7781;7.6164;98;336;387;16100;3225;FlightAware ADS-B(EDFG)
23.10.2025 08:15:12;50.7728;7.6884;97;360;414;17375;3113;FlightAware ADS-B(SCN / EDDR)
23.10.2025 08:15:35;50.7686;7.7514;97;361;415;18850;3628;FlightAware ADS-B(CGN / EDDK)
23.10.2025 08:15:55;50.7570;7.7944;125;329;379;19975;3346;FlightAware ADS-B(EDRY)
23.10.2025 08:16:14;50.7354;7.8277;139;321;369;21025;2961;FlightAware ADS-B(DUS / EDDL)
23.10.2025 08:17:11;50.6633;7.8947;152;328;377;23725;2953;FlightAware ADS-B(DUS / EDDL)
23.10.2025 08:17:50;50.6115;7.9402;150;332;382;25750;2973;FlightAware ADS-B(EDKB)
23.10.2025 08:18:06;50.5914;7.9582;150;335;386;26450;2486;FlightAware ADS-B(HAJ / EDDV)
23.10.2025 08:18:25;50.5670;7.9797;151;340;391;27200;2189;FlightAware ADS-B(EDKL)
23.10.2025 08:18:43;50.5404;8.0030;151;347;399;27800;2281;FlightAware ADS-B(LUX / ELLX)
23.10.2025 08:19:13;50.4984;8.0399;151;351;404;29025;1725;FlightAware ADS-B(DTM / EDLW)
23.10.2025 08:19:43;50.4532;8.0793;151;375;432;29525;1034;FlightAware ADS-B(EDGQ)
23.10.2025 08:20:11;50.4104;8.1168;151;390;449;30025;1707;FlightAware ADS-B(ENS / EHTW)
23.10.2025 08:20:41;50.3625;8.1588;151;388;447;31175;2314;FlightAware ADS-B(EDGM)
