time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
23.10.2025 10:32:48;41.1330;16.7409;250;150;173;875;;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:33:04;41.1297;16.7279;253;157;181;1600;2953;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:33:20;41.1264;16.7127;253;160;184;2450;2409;FlightAware ADS-B(FOG / LIBF)
23.10.2025 10:33:37;41.1221;16.6968;249;181;208;2925;2227;FlightAware ADS-B(FOG / LIBF)
23.10.2025 10:33:53;41.1162;16.6777;247;195;224;3675;2957;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:34:12;41.1099;16.6574;250;200;230;4650;3086;FlightAware ADS-B(LCC / LIBN)
23.10.2025 10:34:28;41.1091;16.6387;287;203;234;5475;3132;FlightAware ADS-B(LIBX)
23.10.2025 10:34:46;41.1206;16.6226;333;213;245;6425;3292;FlightAware ADS-B(FOG / LIBF)
23.10.2025 10:35:04;41.1402;16.6165;355;230;265;7450;2860;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:35:29;41.1669;16.6169;4;256;295;8475;3321;FlightAware ADS-B(LINB)
23.10.2025 10:36:14;41.2217;16.6222;2;264;304;11325;3240;FlightAware ADS-B(LIBX)
23.10.2025 10:36:44;41.2630;16.6238;2;315;362;12525;2800;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:37:14;41.3077;16.6263;3;339;390;14125;3639;FlightAware ADS-B(FOG / LIBF)
23.10.2025 10:37:45;41.3560;16.6286;2;347;399;16225;3910;FlightAware ADS-B(PSR / LIBP)
23.10.2025 10:38:15;41.4065;16.6307;2;358;412;18100;3590;FlightAware ADS-B(LIBX)
23.10.2025 10:38:46;41.4573;16.6331;2;365;420;19875;3254;FlightAware ADS-B(PSR / LIBP)
23.10.2025 10:39:14;41.5090;16.6352;360;377;434;21300;3156;FlightAware ADS-B(FOG / LIBF)
23.10.2025 10:39:34;41.5420;16.6266;342;368;423;22400;3038;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:39:53;41.5696;16.6110;334;370;426;23275;2908;FlightAware ADS-B(LINB)
23.10.2025 10:40:23;41.6153;16.5777;330;369;425;24775;2950;FlightAware ADS-B(LINA)
23.10.2025 10:40:53;41.6611;16.5414;329;371;427;26225;2533;FlightAware ADS-B(QRT / LIQN)
23.10.2025 10:41:24;41.7045;16.5073;330;375;432;27350;2429;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:41:56;41.7530;16.4706;331;373;429;28775;2565;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:42:26;41.7968;16.4374;330;370;426;30000;2525;FlightAware ADS-B(NAP / LIRN)
23.10.2025 10:42:56;41.8417;16.4039;331;364;419;31300;2925;FlightAware ADS-B(PSR / LIBP)
23.10.2025 10:43:26;41.8872;16.3702;331;348;400;32925;2750;FlightAware ADS-B(SPU / LDSP)
23.10.2025 10:43:56;41.9281;16.3395;331;344;396;34050;1650;FlightAware ADS-B(NAP / LIRN)
23.10.2025 10:44:26;41.9703;16.3078;331;353;406;34575;1025;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:44:56;42.0139;16.2752;331;362;417;35075;1000;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:45:26;42.0580;16.2419;330;367;422;35575;900;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:45:56;42.1016;16.2090;331;374;430;35975;425;FlightAware ADS-B(BRI / LIBD)
23.10.2025 10:46:26;42.1491;16.1731;331;384;442;36000;148;FlightAware ADS-B(PSR / LIBP)
23.10.2025 10:46:57;42.1951;16.1382;331;380;437;36125;774;FlightAware ADS-B(PSR / LIBP)
23.10.2025 10:47:28;42.2428;16.1018;330;376;433;36800;1258;FlightAware ADS-B(AOI / LIPY)
23.10.2025 10:47:59;42.2882;16.0673;331;372;428;37425;1303;FlightAware ADS-B(PSR / LIBP)
23.10.2025 10:48:29;42.3329;16.0334;330;368;423;38125;1300;FlightAware ADS-B(LIBX)
23.10.2025 10:48:59;42.3775;15.9993;330;365;420;38725;950;FlightAware ADS-B(AOI / LIPY)
23.10.2025 10:49:29;42.4225;15.9647;331;369;425;39075;625;FlightAware ADS-B(AOI / LIPY)
23.10.2025 10:49:47;42.4483;15.9463;337;376;433;39225;500;FlightAware ADS-B(PSR / LIBP)
23.10.2025 10:50:08;42.4841;15.9282;342;382;440;39400;471;FlightAware ADS-B(LCC / LIBN)
23.10.2025 10:50:38;42.5335;15.9066;342;386;444;39625;450;FlightAware ADS-B(ZAD / LDZD)
23.10.2025 10:51:08;42.5839;15.8835;341;386;444;39850;369;FlightAware ADS-B(LIPF)
23.10.2025 10:51:39;42.6383;15.8578;341;387;445;40000;143;FlightAware ADS-B(LDOR)
23.10.2025 10:52:11;42.6926;15.8330;341;383;441;40000;;FlightAware ADS-B(AOI / LIPY)
23.10.2025 10:52:41;42.7425;15.8095;341;380;437;40000;;FlightAware ADS-B(LIKO)
23.10.2025 10:53:15;42.7993;15.7829;341;378;435;40000;;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:53:45;42.8478;15.7600;341;378;435;40000;;FlightAware ADS-B(TQR / LINI)
23.10.2025 10:54:16;42.8997;15.7355;342;378;435;40000;;FlightAware ADS-B(TQR / LINI)
23.10.2025 10:54:47;42.9499;15.7124;341;377;434;40000;;FlightAware ADS-B(LCC / LIBN)
23.10.2025 10:55:17;42.9998;15.6885;341;375;432;40000;;FlightAware ADS-B(TQR / LINI)
23.10.2025 10:55:47;43.0482;15.6657;341;374;430;40000;;FlightAware ADS-B(LIPF)
23.10.2025 10:56:17;43.0975;15.6424;341;374;430;40000;;FlightAware ADS-B(LCC / LIBN)
23.10.2025 10:56:47;43.1463;15.6192;341;373;429;40000;;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:57:17;43.1949;15.5962;340;373;429;40000;;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:57:47;43.2440;15.5720;341;372;428;40000;;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:58:17;43.2925;15.5493;342;372;428;40000;;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:58:47;43.3409;15.5266;341;371;427;40000;;FlightAware ADS-B(QSR / LIRI)
23.10.2025 10:59:17;43.3887;15.5036;340;369;425;40000;;FlightAware ADS-B(AVB / LIPA)
23.10.2025 10:59:47;43.4370;15.4804;341;369;425;40000;;FlightAware ADS-B(AVB / LIPA)
23.10.2025 11:00:18;43.4892;15.4554;341;369;425;40000;;FlightAware ADS-B(AOI / LIPY)
23.10.2025 11:00:49;43.5369;15.4325;341;371;427;40000;;FlightAware ADS-B(TQR / LINI)
23.10.2025 11:01:20;43.5873;15.4083;341;371;427;40000;;FlightAware ADS-B(PSR / LIBP)
23.10.2025 11:01:50;43.6368;15.3843;341;372;428;40000;;FlightAware ADS-B(PSR / LIBP)
23.10.2025 11:02:20;43.6854;15.3608;341;372;428;40000;;FlightAware ADS-B(PEG / LIRZ)
23.10.2025 11:02:50;43.7327;15.3380;341;372;428;40000;;FlightAware ADS-B(PSR / LIBP)
23.10.2025 11:03:21;43.7845;15.3128;341;371;427;40000;;FlightAware ADS-B(PSR / LIBP)
23.10.2025 11:03:52;43.8341;15.2887;341;372;428;40000;;FlightAware ADS-B(TQR / LINI)
23.10.2025 11:04:25;43.8883;15.2622;341;373;429;40000;;FlightAware ADS-B(TQR / LINI)
23.10.2025 11:04:57;43.9400;15.2371;340;374;430;40000;;FlightAware ADS-B(ZAD / LDZD)
23.10.2025 11:05:28;43.9895;15.2129;340;374;430;40000;;FlightAware ADS-B(SOB / LHSM)
23.10.2025 11:06:00;44.0429;15.1869;341;373;429;40000;;FlightAware ADS-B(PSR / LIBP)
23.10.2025 11:06:30;44.0911;15.1631;341;375;432;40000;;FlightAware ADS-B(AOI / LIPY)
23.10.2025 11:07:00;44.1399;15.1394;340;376;433;40000;;FlightAware ADS-B(PSR / LIBP)
23.10.2025 11:07:31;44.1904;15.1143;340;377;434;40000;;FlightAware ADS-B(PSR / LIBP)
23.10.2025 11:08:01;44.2395;15.0900;341;380;437;40000;;FlightAware ADS-B(GRZ / LOWG)
23.10.2025 11:08:31;44.2888;15.0659;341;381;438;40000;;FlightAware ADS-B(FCO / LIRF)
23.10.2025 11:09:02;44.3405;15.0402;341;383;441;40000;-221;FlightAware ADS-B(ZAD / LDZD)
23.10.2025 11:09:32;44.3916;15.0148;340;385;443;39775;-725;FlightAware ADS-B(RMI / LIPR)
23.10.2025 11:10:02;44.4422;14.9899;340;383;441;39275;-1000;FlightAware ADS-B(AOI / LIPY)
23.10.2025 11:10:32;44.4931;14.9646;340;390;449;38775;-1000;FlightAware ADS-B(AOI / LIPY)
23.10.2025 11:11:02;44.5434;14.9396;341;400;460;38275;-1000;FlightAware ADS-B(PUY / LDPL)
23.10.2025 11:11:32;44.5958;14.9133;340;408;470;37775;-1025;FlightAware ADS-B(PUY / LDPL)
23.10.2025 11:12:02;44.6514;14.8853;341;416;479;37250;-1000;FlightAware ADS-B(AVB / LIPA)
23.10.2025 11:12:32;44.7062;14.8578;340;423;487;36775;-725;FlightAware ADS-B(RMI / LIPR)
23.10.2025 11:13:02;44.7617;14.8302;340;423;487;36525;-675;FlightAware ADS-B(LIPF)
23.10.2025 11:13:32;44.8162;14.8032;340;421;484;36100;-516;FlightAware ADS-B(GRZ / LOWG)
23.10.2025 11:14:03;44.8732;14.7739;340;417;480;36000;-98;FlightAware ADS-B(VRN / LIPX)
23.10.2025 11:14:33;44.9249;14.7475;341;417;480;36000;;FlightAware ADS-B(LOGF)
23.10.2025 11:15:03;44.9802;14.7202;341;417;480;36000;;FlightAware ADS-B(LHPR)
23.10.2025 11:15:35;45.0384;14.6903;340;416;479;36000;;FlightAware ADS-B(LIDG)
23.10.2025 11:16:05;45.0940;14.6618;340;415;478;36000;;FlightAware ADS-B(SOB / LHSM)
23.10.2025 11:16:35;45.1463;14.6356;340;414;476;36000;;FlightAware ADS-B(LIDT)
23.10.2025 11:17:06;45.2039;14.6061;341;415;478;36000;;FlightAware ADS-B(LIDT)
23.10.2025 11:17:37;45.2579;14.5786;340;413;475;36000;;FlightAware ADS-B(LIKO)
23.10.2025 11:18:08;45.3151;14.5490;340;411;473;36000;;FlightAware ADS-B(LJBL)
23.10.2025 11:18:38;45.3671;14.5218;338;409;471;36000;;FlightAware ADS-B(UDN / LIPD)
23.10.2025 11:19:08;45.4209;14.4892;336;409;471;36000;;FlightAware ADS-B(AOI / LIPY)
23.10.2025 11:19:39;45.4740;14.4551;335;409;471;36000;;FlightAware ADS-B(LIDF)
23.10.2025 11:20:09;45.5258;14.4218;336;410;472;36000;;FlightAware ADS-B(AOI / LIPY)
23.10.2025 11:20:39;45.5798;14.3885;336;411;473;36000;;FlightAware ADS-B(AOI / LIPY)
23.10.2025 11:21:09;45.6288;14.3571;335;413;475;36000;;FlightAware ADS-B(GRZ / LOWG)
23.10.2025 11:21:39;45.6810;14.3242;336;415;478;36000;;FlightAware ADS-B(GRZ / LOWG)
23.10.2025 11:22:09;45.7336;14.2907;336;415;478;36000;;FlightAware ADS-B(LZMC)
23.10.2025 11:22:39;45.7881;14.2563;336;416;479;36000;-344;FlightAware ADS-B(LIPI)
