time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
23.10.2025 17:36:00;39.5402;2.6945;239;162;186;1925;;FlightAware MLAT(6 sites)
23.10.2025 17:36:00;39.5402;2.6945;239;162;186;1925;2647;FlightAware MLAT(6 sites)
23.10.2025 17:36:17;39.5338;2.6792;241;172;198;2675;3127;FlightAware MLAT(5 sites)
23.10.2025 17:36:59;39.5154;2.6429;235;169;194;5000;3458;FlightAware MLAT(7 sites)
23.10.2025 17:37:16;39.5062;2.6286;233;180;207;6075;2824;FlightAware MLAT(5 sites)
23.10.2025 17:37:33;39.4957;2.6170;233;180;207;6600;2414;FlightAware MLAT(9 sites)
23.10.2025 17:38:20;39.4471;2.6453;149;291;335;8650;2888;FlightAware MLAT(10 sites)
23.10.2025 17:38:40;39.4233;2.6637;124;298;343;9825;3150;FlightAware MLAT(12 sites)
23.10.2025 17:39:00;39.4130;2.6969;90;285;328;10750;2013;FlightAware MLAT(11 sites)
23.10.2025 17:39:18;39.4102;2.7294;87;282;325;11100;2625;FlightAware MLAT(11 sites)
23.10.2025 17:40:12;39.4307;2.8541;77;382;440;13900;3297;FlightAware MLAT(7 sites)
23.10.2025 17:40:44;39.4529;2.9236;67;384;442;15825;3532;FlightAware MLAT(7 sites)
23.10.2025 17:41:14;39.4754;2.9885;66;396;456;17550;3350;FlightAware MLAT(9 sites)
23.10.2025 17:41:44;39.4998;3.0539;67;407;468;19175;3141;FlightAware MLAT(10 sites)
23.10.2025 17:42:18;39.5256;3.1328;68;426;490;20900;2806;FlightAware MLAT(10 sites)
23.10.2025 17:42:46;39.5527;3.1931;49;420;483;22075;2462;FlightAware MLAT(10 sites)
23.10.2025 17:43:11;39.5881;3.2379;45;422;486;23075;2373;FlightAware MLAT(13 sites)
23.10.2025 17:43:41;39.6334;3.2882;42;426;490;24250;2213;FlightAware MLAT(5 sites)
23.10.2025 17:44:12;39.6801;3.3413;42;432;497;25325;2202;FlightAware MLAT(9 sites)
23.10.2025 17:44:43;39.7262;3.3969;43;442;509;26525;2164;FlightAware MLAT(10 sites)
23.10.2025 17:45:13;39.7706;3.4538;43;452;520;27525;2041;FlightAware MLAT(12 sites)
23.10.2025 17:45:44;39.8178;3.5129;43;454;522;28600;1697;FlightAware MLAT(9 sites)
23.10.2025 17:46:14;39.8651;3.5694;43;462;532;29250;1400;FlightAware MLAT(13 sites)
23.10.2025 17:46:44;39.9121;3.6273;44;468;539;30000;1725;FlightAware MLAT(11 sites)
23.10.2025 17:47:14;39.9592;3.6850;44;466;536;30975;2063;FlightAware MLAT(12 sites)
23.10.2025 17:47:48;40.0114;3.7506;44;460;529;32200;2156;FlightAware MLAT(9 sites)
23.10.2025 17:48:18;40.0566;3.8070;40;450;518;33275;1781;FlightAware MLAT(10 sites)
23.10.2025 17:48:52;40.1146;3.8521;24;436;502;34100;1336;FlightAware MLAT(10 sites)
23.10.2025 17:49:31;40.1870;3.8854;20;422;486;34900;1136;FlightAware MLAT(5 sites)
23.10.2025 17:50:02;40.2432;3.9110;20;428;493;35425;1057;FlightAware MLAT(9 sites)
