time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
24.10.2025 13:16:02;51.4318;12.2204;269;129;148;1575;;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:16:18;51.4318;12.2060;269;122;140;2750;3703;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:16:34;51.4313;12.1896;266;135;155;3550;3188;FlightAware ADS-B(EDAD)
24.10.2025 13:16:50;51.4303;12.1743;264;146;168;4450;3422;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:17:06;51.4291;12.1567;264;157;181;5375;2958;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:17:26;51.4275;12.1298;265;191;220;6225;1860;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:17:56;51.4254;12.0824;266;238;274;6925;2325;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:18:26;51.4226;12.0289;265;250;288;8550;3821;FlightAware ADS-B(EDAD)
24.10.2025 13:18:49;51.4202;11.9830;266;258;297;10300;4286;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:19:15;51.4226;11.9335;279;280;322;12050;4375;FlightAware ADS-B(LEJ / EDDP)
24.10.2025 13:19:49;51.4313;11.8565;280;308;354;14675;4758;FlightAware ADS-B(BER / EDDB)
24.10.2025 13:20:19;51.4375;11.7920;278;317;365;17125;4700;FlightAware ADS-B(LKKT)
24.10.2025 13:20:49;51.4436;11.7217;278;328;377;19375;3825;FlightAware ADS-B(BWE / EDVE)
24.10.2025 13:21:19;51.4503;11.6467;278;358;412;20950;2325;FlightAware ADS-B(ERF / EDDE)
24.10.2025 13:21:49;51.4580;11.5623;278;398;458;21700;1025;FlightAware ADS-B(ERF / EDDE)
24.10.2025 13:22:19;51.4660;11.4751;278;401;461;21975;325;FlightAware ADS-B(BWE / EDVE)
24.10.2025 13:22:49;51.4736;11.3886;278;401;461;22025;25;FlightAware ADS-B(EDOD)
24.10.2025 13:23:20;51.4817;11.2956;278;410;472;22000;-25;FlightAware ADS-B(AOC / EDAC)
24.10.2025 13:23:50;51.4896;11.2052;278;412;474;22000;;FlightAware ADS-B(EDBF)
24.10.2025 13:24:20;51.4974;11.1159;278;412;474;22000;;FlightAware ADS-B(EDHG)
24.10.2025 13:24:50;51.5053;11.0240;278;413;475;22000;;FlightAware ADS-B(EDBK)
24.10.2025 13:25:20;51.5128;10.9323;277;414;476;22000;;FlightAware ADS-B(EDHD)
24.10.2025 13:25:50;51.5207;10.8416;278;415;478;22000;;FlightAware ADS-B(FMO / EDDG)
24.10.2025 13:26:31;51.5311;10.7149;277;415;478;22000;;FlightAware ADS-B(EDAQ)
24.10.2025 13:26:53;51.5365;10.6452;276;416;479;22000;;FlightAware ADS-B(ERF / EDDE)
24.10.2025 13:27:32;51.5387;10.5296;269;416;479;22000;;FlightAware ADS-B(EDAQ)
24.10.2025 13:28:02;51.5368;10.4333;267;417;480;22000;;FlightAware ADS-B(EDLO)
24.10.2025 13:28:32;51.5338;10.3435;267;415;478;22000;;FlightAware ADS-B(EDAQ)
24.10.2025 13:29:02;51.5313;10.2534;267;408;470;22000;;FlightAware ADS-B(CSO / EDBC)
24.10.2025 13:29:32;51.5292;10.1602;268;404;465;22000;;FlightAware ADS-B(BWE / EDVE)
24.10.2025 13:30:02;51.5278;10.0728;268;411;473;22000;;FlightAware ADS-B(GRQ / EHGG)
24.10.2025 13:30:18;51.5268;10.0239;267;415;478;22000;;FlightAware ADS-B(EDVG)
24.10.2025 13:30:35;51.5218;9.9733;257;419;482;22000;;FlightAware ADS-B(HAJ / EDDV)
24.10.2025 13:30:57;51.5100;9.9060;253;424;488;22000;;FlightAware ADS-B(ZNO / EDVM)
24.10.2025 13:31:27;51.4914;9.8169;251;427;491;22000;;FlightAware ADS-B(EDHD)
24.10.2025 13:31:57;51.4723;9.7278;251;417;480;22000;;FlightAware ADS-B(HAJ / EDDV)
24.10.2025 13:32:28;51.4534;9.6379;252;414;476;22000;;FlightAware ADS-B(EDLZ)
24.10.2025 13:32:59;51.4349;9.5477;252;419;482;22000;;FlightAware ADS-B(EDLB)
24.10.2025 13:33:30;51.4159;9.4560;252;419;482;22000;;FlightAware ADS-B(EDLR)
24.10.2025 13:34:00;51.3984;9.3700;252;420;483;22000;;FlightAware ADS-B(EDQS)
24.10.2025 13:34:30;51.3793;9.2783;251;420;483;22000;;FlightAware ADS-B(EDQS)
24.10.2025 13:35:00;51.3609;9.1892;252;422;486;22000;;FlightAware ADS-B(EDLZ)
24.10.2025 13:35:31;51.3422;9.0995;252;422;486;22000;;FlightAware ADS-B(EDLZ)
24.10.2025 13:36:01;51.3236;9.0107;251;424;488;22000;;FlightAware ADS-B(ETHE)
24.10.2025 13:36:31;51.3045;8.9189;251;423;487;22000;;FlightAware ADS-B(EDLR)
24.10.2025 13:36:53;51.2914;8.8569;252;423;487;22000;;FlightAware ADS-B(GRQ / EHGG)
24.10.2025 13:37:23;51.2726;8.7683;251;411;473;22000;-475;FlightAware ADS-B(BWE / EDVE)
24.10.2025 13:37:53;51.2539;8.6801;251;402;463;21525;-1725;FlightAware ADS-B(EDFG)
24.10.2025 13:38:23;51.2363;8.5973;251;407;468;20275;-2400;FlightAware ADS-B(EDLO)
24.10.2025 13:38:53;51.2186;8.5155;252;391;450;19125;-2350;FlightAware ADS-B(BWE / EDVE)
24.10.2025 13:39:23;51.2007;8.4305;251;383;441;17925;-2275;FlightAware ADS-B(SGE / EDGS)
24.10.2025 13:39:53;51.1844;8.3551;251;375;432;16850;-2125;FlightAware ADS-B(ETWM)
24.10.2025 13:40:23;51.1683;8.2807;251;369;425;15800;-2125;FlightAware ADS-B(DTM / EDLW)
24.10.2025 13:40:53;51.1516;8.2045;251;339;390;14725;-2025;FlightAware ADS-B(EDEB)
24.10.2025 13:41:23;51.1370;8.1375;251;310;357;13775;-1853;FlightAware ADS-B(EDKR)
24.10.2025 13:41:44;51.1270;8.0934;247;289;333;13150;-1808;FlightAware ADS-B(ETNN)
24.10.2025 13:42:02;51.1122;8.0632;224;279;321;12600;-1227;FlightAware ADS-B(MGL / EDLN)
24.10.2025 13:42:39;51.0783;8.0159;221;266;306;12025;-537;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:43:09;51.0513;7.9793;220;254;292;12000;-25;FlightAware ADS-B(EDEP)
24.10.2025 13:43:39;51.0242;7.9432;220;253;291;12000;-316;FlightAware ADS-B(DUS / EDDL)
24.10.2025 13:44:06;50.9991;7.9097;219;235;270;11700;-763;FlightAware ADS-B(SGE / EDGS)
24.10.2025 13:44:36;50.9748;7.8801;217;230;265;11275;-925;FlightAware ADS-B(EDKL)
24.10.2025 13:45:06;50.9498;7.8502;217;225;259;10775;-1118;FlightAware ADS-B(GKE / ETNG)
24.10.2025 13:45:27;50.9327;7.8297;217;219;252;10325;-1324;FlightAware ADS-B(EDKN)
24.10.2025 13:45:57;50.9086;7.8015;217;212;244;9650;-1300;FlightAware ADS-B(DTM / EDLW)
24.10.2025 13:46:27;50.8852;7.7746;216;209;241;9025;-1275;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:46:57;50.8622;7.7479;216;205;236;8375;-1375;FlightAware ADS-B(EDKL)
24.10.2025 13:47:27;50.8389;7.7213;216;200;230;7650;-1316;FlightAware ADS-B(EDKF)
24.10.2025 13:47:46;50.8261;7.7044;231;192;221;7300;-973;FlightAware ADS-B(EDRA)
24.10.2025 13:48:04;50.8246;7.6799;290;184;212;7050;-500;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:48:22;50.8368;7.6656;340;196;226;7000;-70;FlightAware ADS-B(ETOU)
24.10.2025 13:48:47;50.8591;7.6550;344;215;247;7000;-791;FlightAware ADS-B(AAH / EDKA)
24.10.2025 13:49:17;50.8891;7.6418;344;221;254;6275;-1500;FlightAware ADS-B(DUS / EDDL)
24.10.2025 13:49:47;50.9175;7.6292;345;203;234;5500;-1163;FlightAware ADS-B(EDKB)
24.10.2025 13:50:06;50.9347;7.6213;343;193;222;5325;-307;FlightAware ADS-B(EDKN)
24.10.2025 13:50:31;50.9550;7.6121;344;187;215;5275;-73;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:50:47;50.9680;7.6051;332;188;216;5275;;FlightAware ADS-B(EDGA)
24.10.2025 13:51:05;50.9763;7.5856;285;161;185;5275;;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:51:26;50.9790;7.5621;276;159;183;5275;-402;FlightAware ADS-B(EDKF)
24.10.2025 13:51:46;50.9781;7.5386;261;163;188;5000;-1047;FlightAware ADS-B(EDKB)
24.10.2025 13:52:09;50.9749;7.5124;257;168;193;4525;-1231;FlightAware ADS-B(SGE / EDGS)
24.10.2025 13:52:25;50.9712;7.4912;251;171;197;4200;-1231;FlightAware ADS-B(EDKF)
24.10.2025 13:52:48;50.9645;7.4657;244;173;199;3725;-1019;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:53:18;50.9534;7.4311;244;168;193;3300;-443;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:53:49;50.9435;7.3992;244;157;181;3275;-25;FlightAware ADS-B(EDRK)
24.10.2025 13:54:19;50.9337;7.3671;245;162;186;3275;-150;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:54:49;50.9239;7.3348;244;166;191;3125;-600;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:55:19;50.9149;7.3049;245;147;169;2675;-825;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:55:49;50.9066;7.2775;243;136;157;2300;-763;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:56:18;50.8989;7.2519;244;130;150;1925;-771;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:56:24;50.8970;7.2459;245;126;145;1850;-750;Surface and Near-Surface
24.10.2025 13:56:34;50.8946;7.2379;243;122;140;1725;-635;FlightAware ADS-B(EDKN)
24.10.2025 13:56:50;50.8909;7.2260;246;110;127;1575;-563;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:57:06;50.8878;7.2153;245;103;119;1425;-563;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:57:22;50.8845;7.2044;245;103;119;1275;-563;FlightAware ADS-B(EDKB)
24.10.2025 13:57:38;50.8811;7.1932;246;111;128;1125;-563;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:57:54;50.8775;7.1809;246;119;137;975;-563;FlightAware ADS-B(EDKB)
24.10.2025 13:58:10;50.8736;7.1681;244;119;137;825;-703;FlightAware ADS-B(CGN / EDDK)
24.10.2025 13:58:26;50.8697;7.1553;245;116;133;600;-844;FlightAware ADS-B(CGN / EDDK)
