time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
29.10.2025 18:42:28;53.3392;-2.2957;232;145;167;1350;;FlightAware ADS-B(EGOW)
29.10.2025 18:42:44;53.3316;-2.3119;232;148;170;2500;3656;FlightAware ADS-B(EGBO)
29.10.2025 18:43:00;53.3251;-2.3249;229;161;185;3300;2953;FlightAware ADS-B(MAN / EGCC)
29.10.2025 18:43:16;53.3158;-2.3405;214;184;212;4075;2766;FlightAware ADS-B(CEG / EGNR)
29.10.2025 18:43:32;53.3025;-2.3466;183;202;232;4775;2636;FlightAware ADS-B(MAN / EGCC)
29.10.2025 18:43:49;53.2857;-2.3428;165;221;254;5525;2526;FlightAware ADS-B(BHX / EGBB)
29.10.2025 18:44:10;53.2653;-2.3351;171;232;267;6375;2571;FlightAware ADS-B(MAN / EGCC)
29.10.2025 18:44:31;53.2407;-2.3296;173;249;287;7325;2833;FlightAware ADS-B(EMA / EGNX)
29.10.2025 18:44:55;53.2131;-2.3242;174;275;316;8500;3068;FlightAware ADS-B(EGWC)
29.10.2025 18:45:15;53.1846;-2.3192;174;290;334;9575;3015;FlightAware ADS-B(MAN / EGCC)
29.10.2025 18:46:32;53.0772;-2.3040;176;338;389;13375;2986;FlightAware ADS-B(GLO / EGBJ)
29.10.2025 18:47:02;53.0285;-2.2981;175;350;403;14900;2694;FlightAware ADS-B(EGOS)
29.10.2025 18:47:21;52.9986;-2.2939;173;352;405;15575;2092;FlightAware ADS-B(EGBM)
29.10.2025 18:47:40;52.9660;-2.2771;157;360;414;16225;2041;FlightAware ADS-B(DSA / EGCN)
29.10.2025 18:48:22;52.9007;-2.2286;155;378;435;17650;1993;FlightAware ADS-B(DSA / EGCN)
29.10.2025 18:48:47;52.8637;-2.1890;143;393;452;18450;1674;FlightAware ADS-B(BRS / EGGD)
29.10.2025 18:49:05;52.8391;-2.1561;140;389;448;18850;717;FlightAware ADS-B(EGBS)
29.10.2025 18:49:33;52.8017;-2.1037;139;388;447;19000;138;FlightAware ADS-B(ORM / EGBK)
29.10.2025 18:50:10;52.7505;-2.0325;138;386;444;19000;;FlightAware ADS-B(CVT / EGBE)
29.10.2025 18:50:35;52.7183;-1.9821;135;382;440;19000;;FlightAware ADS-B(MAN / EGCC)
29.10.2025 18:51:03;52.6834;-1.9254;135;377;434;19000;;FlightAware ADS-B(EMA / EGNX)
29.10.2025 18:51:33;52.6458;-1.8637;135;376;433;19000;;FlightAware ADS-B(EGBW)
29.10.2025 18:52:03;52.6090;-1.8036;135;377;434;19000;;FlightAware ADS-B(MAN / EGCC)
29.10.2025 18:52:33;52.5710;-1.7414;135;378;435;19000;;FlightAware ADS-B(CEG / EGNR)
29.10.2025 18:53:03;52.5360;-1.6842;135;376;433;19000;;FlightAware ADS-B(EGBW)
29.10.2025 18:53:31;52.5017;-1.6275;135;376;433;19000;;FlightAware ADS-B(EGFP)
29.10.2025 18:54:01;52.4652;-1.5676;135;382;440;19000;;FlightAware ADS-B(ORM / EGBK)
29.10.2025 18:54:31;52.4253;-1.5029;135;391;450;19000;;FlightAware ADS-B(ORM / EGBK)
29.10.2025 18:55:01;52.3865;-1.4397;135;389;448;19000;;FlightAware ADS-B(EGHA)
29.10.2025 18:55:31;52.3492;-1.3778;134;388;447;19000;;FlightAware ADS-B(EGTF)
29.10.2025 18:56:01;52.3110;-1.3147;135;387;445;19000;;FlightAware ADS-B(LCY / EGLC)
29.10.2025 18:56:31;52.2745;-1.2541;134;386;444;19000;-425;FlightAware ADS-B(EGNO)
29.10.2025 18:57:01;52.2377;-1.1932;135;385;443;18575;-1325;FlightAware ADS-B(EGCJ)
29.10.2025 18:57:31;52.2008;-1.1316;134;364;419;17675;-1896;FlightAware ADS-B(EGSF)
29.10.2025 18:57:54;52.1741;-1.0859;133;356;410;16900;-1989;FlightAware ADS-B(ORM / EGBK)
29.10.2025 18:58:17;52.1505;-1.0454;133;352;405;16150;-2009;FlightAware ADS-B(EGNE)
29.10.2025 18:58:47;52.1153;-0.9871;135;349;402;15125;-2050;FlightAware ADS-B(EGBO)
29.10.2025 18:59:17;52.0804;-0.9291;134;347;399;14100;-2300;FlightAware ADS-B(EGHF)
29.10.2025 18:59:47;52.0472;-0.8747;135;342;394;12825;-2500;FlightAware ADS-B(HUY / EGNJ)
29.10.2025 19:00:17;52.0127;-0.8193;136;344;396;11600;-1941;FlightAware ADS-B(EGBW)
29.10.2025 19:00:55;51.9708;-0.7535;136;318;366;10625;-1523;FlightAware ADS-B(DSA / EGCN)
29.10.2025 19:01:21;51.9447;-0.7118;134;301;346;9975;-1432;FlightAware ADS-B(EGBT)
29.10.2025 19:01:39;51.9323;-0.6808;110;302;348;9575;-1461;FlightAware ADS-B(HYC / EGTB)
29.10.2025 19:01:59;51.9297;-0.6354;87;296;341;9050;-1538;FlightAware ADS-B(LKZ / EGUL)
29.10.2025 19:02:18;51.9314;-0.5949;85;290;334;8575;-1536;FlightAware ADS-B(LHR / EGLL)
29.10.2025 19:02:41;51.9343;-0.5437;85;284;327;7975;-1538;FlightAware ADS-B(HYC / EGTB)
29.10.2025 19:02:58;51.9378;-0.5062;79;279;321;7550;-1500;FlightAware ADS-B(FZO / EGTG)
29.10.2025 19:03:14;51.9418;-0.4766;77;276;318;7150;-1500;FlightAware ADS-B(EGTC)
29.10.2025 19:03:31;51.9470;-0.4435;69;272;313;6725;-1167;FlightAware ADS-B(LHR / EGLL)
29.10.2025 19:03:50;51.9575;-0.4104;60;262;302;6450;-692;FlightAware ADS-B(QUY / EGUY)
29.10.2025 19:04:10;51.9702;-0.3756;59;262;302;6275;-973;FlightAware ADS-B(OXF / EGTK)
29.10.2025 19:04:27;51.9807;-0.3471;60;260;299;5850;-1409;FlightAware ADS-B(LCY / EGLC)
29.10.2025 19:04:43;51.9869;-0.3167;88;262;302;5500;-797;FlightAware ADS-B(EGLJ)
29.10.2025 19:04:59;51.9856;-0.2868;96;260;299;5425;-188;FlightAware ADS-B(KNF / EGYM)
29.10.2025 19:05:15;51.9835;-0.2554;96;258;297;5400;-328;FlightAware ADS-B(NQT / EGBN)
29.10.2025 19:05:31;51.9816;-0.2271;96;247;284;5250;-750;FlightAware ADS-B(NHT / EGWU)
29.10.2025 19:05:37;51.9808;-0.2162;96;242;278;5125;-1154;Surface and Near-Surface
